site type,truth site,site area,matched site models,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,site count,association status,associated,color code,model type
positive,KR_R002_0029,0,KR_R002_7001_test_2.0.0,,,,64.26170268034453,103.5373182835549,178.966432613986,0.0,488.0,1101.0,1,fn,False,3,point
negative,KR_R002_0030,0,KR_R002_7011_test_2.0.0,,,,0.0,80.70774474676966,206.38604696958808,0.0,192.0,892.0,1,fp,True,5,point
positive,KR_R002_0031,0,KR_R002_7002_test_2.0.0,,,,0.0,34.473678464173624,210.18093667248564,0.0,518.0,1071.0,1,tp,True,2,point
positive,KR_R002_0032,0,KR_R002_7003_test_2.0.0,,,,0.0,91.75803670257983,280.7807484932067,127.0,690.0,1254.0,1,tp,True,2,point
positive,KR_R002_0033,0,,,,,,,,,,,0,fn,False,3,point
positive,KR_R002_0034,0,KR_R002_7009_test_2.0.0,,,,0.0,14.115433881298989,174.22896850952614,0.0,277.0,693.0,1,tp,True,2,point
positive_excluded,KR_R002_0035,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0036,0,KR_R002_7009_test_2.0.0,,,,1.9113181108634254,182.2972353649003,340.3344601217538,42.0,457.0,873.0,1,tn,False,6,point
positive_excluded,KR_R002_0037,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0038,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0039,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0040,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0041,0,,,,,,,,,,,0,tn,False,6,point
ignore,KR_R002_0042,0,,,,,,,,,,,0,0,False,12,point
negative,KR_R002_0043,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0044,0,,,,,,,,,,,0,tn,False,6,point
positive,KR_R002_0053,0,,,,,,,,,,,0,fn,False,3,point
ignore,KR_R002_0054,0,,,,,,,,,,,0,0,False,12,point
ignore,KR_R002_0055,0,,,,,,,,,,,0,0,False,12,point
positive,KR_R002_0056,0,,,,,,,,,,,0,fn,False,3,point
positive_excluded,KR_R002_0057,0,,,,,,,,,,,0,tn,False,6,point
ignore,KR_R002_0061,0,,,,,,,,,,,0,0,False,12,point
positive,KR_R002_0063,0,,,,,,,,,,,0,fn,False,3,point
positive_excluded,KR_R002_0065,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0066,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0067,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0068,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0069,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0070,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0071,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0072,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0073,0,,,,,,,,,,,0,tn,False,6,point
positive,KR_R002_0074,0,,,,,,,,,,,0,fn,False,3,point
positive_excluded,KR_R002_0075,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0076,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0077,0,,,,,,,,,,,0,tn,False,6,point
ignore,KR_R002_0078,0,,,,,,,,,,,0,0,False,12,point
positive,KR_R002_0079,0,,,,,,,,,,,0,fn,False,3,point
positive_excluded,KR_R002_0081,0,,,,,,,,,,,0,tn,False,6,point
ignore,KR_R002_0082,0,,,,,,,,,,,0,0,False,12,point
ignore,KR_R002_0083,0,,,,,,,,,,,0,0,False,12,point
positive_excluded,KR_R002_0084,0,,,,,,,,,,,0,tn,False,6,point
ignore,KR_R002_0085,0,,,,,,,,,,,0,0,False,12,point
negative,KR_R002_0086,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0087,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0089,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0090,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0091,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0092,0,KR_R002_7022_test_2.0.0,,,,42.42821785256431,203.9709511003781,442.1954911279108,219.0,774.0,1330.0,1,tn,False,6,point
positive_excluded,KR_R002_0097,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0098,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0100,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0101,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0102,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0103,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0104,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0105,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0106,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0107,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0108,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0118,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0119,0,KR_R002_7015_test_2.0.0,,,,29.20158079292704,99.75098090633881,186.34975356100506,100.0,410.0,720.0,1,tn,False,6,point
negative,KR_R002_0120,0,KR_R002_7015_test_2.0.0,,,,0.0,29.330160575282164,99.13958131532301,0.0,204.0,514.0,1,fp,True,5,point
negative,KR_R002_0121,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0122,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0123,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0124,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0125,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0126,0,,,,,,,,,,,0,tn,False,6,point
positive,KR_R002_0127,0,KR_R002_7017_test_2.0.0,,,,2.542350617554606,292.72332717365964,638.2801773475471,406.0,1097.0,1788.0,1,fn,False,3,point
positive_excluded,KR_R002_0128,0,,,,,,,,,,,0,tn,False,6,point
positive,KR_R002_0129,0,,,,,,,,,,,0,fn,False,3,point
positive_excluded,KR_R002_0130,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0131,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0132,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0133,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0134,0,,,,,,,,,,,0,tn,False,6,point
positive_excluded,KR_R002_0135,0,,,,,,,,,,,0,tn,False,6,point
negative,KR_R002_0136,0,,,,,,,,,,,0,tn,False,6,point
ignore,KR_R002_0137,0,,,,,,,,,,,0,0,False,12,point
positive_excluded,KR_R002_0138,0,,,,,,,,,,,0,tn,False,6,point
positive,KR_R002_0139,0,,,,,,,,,,,0,fn,False,3,point
positive,KR_R002_0140,0,,,,,,,,,,,0,fn,False,3,point
positive,KR_R002_0141,0,,,,,,,,,,,0,fn,False,3,point
