site type,truth site,proposal site,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,truth activity start date,truth activity end date,proposal activity start date,proposal activity end date,model type
ignore,KR_R002_0042,KR_R002_7012_test_2.0.0,,,,408.4324435437859,810.6629004401701,1220.4453728852409,543,1271,1999,2019-07-26,2019-07-26,2014-02-03,2018-01-29,point
ignore,KR_R002_0042,KR_R002_7024_test_2.0.0,,,,382.25633582497176,507.47880557820855,684.5372459758249,603,1301,1999,2019-07-26,2019-07-26,2014-02-03,2017-11-30,point
ignore,KR_R002_0055,KR_R002_7018_test_2.0.0,,,,448.76522576415283,536.9630698439241,639.5944566301865,0,316,682,2017-12-10,2017-12-10,2016-01-28,2018-01-29,point
positive_excluded,KR_R002_0071,KR_R002_7017_test_2.0.0,,,,417.66309998571677,502.8269282938877,726.785700912013,857,1548,2239,2020-03-22,2020-03-22,2014-02-03,2017-11-16,point
ignore,KR_R002_0083,KR_R002_7000_test_2.0.0,,,,103.03036539848507,537.5857722676207,1084.1840527820304,673,1176,1679,2019-08-29,2019-08-29,2015-01-23,2017-10-25,point
ignore,KR_R002_0083,KR_R002_7004_test_2.0.0,,,,181.13790007277663,677.1250986402644,1125.3958173121011,678,1178,1679,2019-08-29,2019-08-29,2015-01-23,2017-10-20,point
positive_excluded,KR_R002_0087,KR_R002_7021_test_2.0.0,,,,411.0413276520136,574.547651588568,765.1546549188458,2,519,1036,2019-10-02,2019-10-02,2016-11-30,2019-09-30,point
positive_excluded,KR_R002_0090,KR_R002_7022_test_2.0.0,,,,320.2921096256182,540.3986259033665,783.1471171965561,0,-141,-696,2018-01-19,2018-01-19,2016-11-30,2019-12-16,point
positive_excluded,KR_R002_0091,KR_R002_7022_test_2.0.0,,,,284.7030547359654,505.89122414682515,749.729026197157,0,451,1007,2019-09-03,2019-09-03,2016-11-30,2019-12-16,point
negative,KR_R002_0118,KR_R002_7023_test_2.0.0,,,,226.59937455953727,361.6361256401108,487.1882328755645,1123,1459,1795,2020-12-27,2020-12-27,2016-01-28,2017-11-30,point
negative,KR_R002_0121,KR_R002_7015_test_2.0.0,,,,481.5916592266093,571.7960965702694,648.6086344577559,0,-21,-331,2020-03-24,2020-03-24,2019-06-09,2021-02-18,point
negative,KR_R002_0122,KR_R002_7015_test_2.0.0,,,,478.6201378323572,562.5144459634702,639.246790825352,0,-299,-609,2019-06-20,2019-06-20,2019-06-09,2021-02-18,point
positive_excluded,KR_R002_0126,KR_R002_7017_test_2.0.0,,,,189.77615779013715,531.7403361047461,882.6279837759993,796,1487,2178,2020-01-21,2020-01-21,2014-02-03,2017-11-16,point
positive_excluded,KR_R002_0130,KR_R002_7017_test_2.0.0,,,,357.4104032670053,687.4181603081556,1020.7417907627463,935,1626,2317,2020-06-08,2020-06-08,2014-02-03,2017-11-16,point
positive_excluded,KR_R002_0131,KR_R002_7017_test_2.0.0,,,,462.1415233146408,812.8983183271616,1157.2798557446758,1111,1802,2493,2020-12-01,2020-12-01,2014-02-03,2017-11-16,point
positive_excluded,KR_R002_0132,KR_R002_7017_test_2.0.0,,,,284.2649933971322,632.1367878238298,977.807159717345,633,1324,2015,2019-08-11,2019-08-11,2014-02-03,2017-11-16,point
ignore,KR_R002_0137,KR_R002_7000_test_2.0.0,,,,146.63535984677878,588.4244037557228,1135.480757462944,0,293,796,2017-03-29,2017-03-29,2015-01-23,2017-10-25,point
ignore,KR_R002_0137,KR_R002_7004_test_2.0.0,,,,86.14028700480903,577.6236397948937,1040.4808056949535,0,295,796,2017-03-29,2017-03-29,2015-01-23,2017-10-20,point
positive,KR_R002_0139,KR_R002_7012_test_2.0.0,,,,55.62217710213927,193.37456208047914,525.9438642122427,1169,1897,2625,2021-04-12,2021-04-12,2014-02-03,2018-01-29,point
positive,KR_R002_0139,KR_R002_7024_test_2.0.0,,,,253.52142419594088,427.59478682904984,570.1138968590885,1229,1927,2625,2021-04-12,2021-04-12,2014-02-03,2017-11-30,point
positive,KR_R002_0141,KR_R002_7020_test_2.0.0,,,,263.6895034552819,673.8564161052466,1241.3732557950104,280,872,1465,2018-02-07,2018-02-07,2014-02-03,2017-05-03,point
