id,area_kmsq,platform,datetime,eo:cloud_cover,annotated_sites
20161031_194031_0c22_3B_AnalyticMS,129.5221779,PlanetScope-0c22,2016-10-31T19:40:31Z,0,
20161111_122829_0e26_3B_AnalyticMS,227.3533351,PlanetScope-0e26,2016-11-11T12:28:29Z,0,
20161111_122830_0e26_3B_AnalyticMS,227.4202595,PlanetScope-0e26,2016-11-11T12:28:30Z,0,
20161111_122831_0e26_3B_AnalyticMS,227.3859356,PlanetScope-0e26,2016-11-11T12:28:31Z,0,
20161111_151957_0d06_3B_AnalyticMS,125.2070356,PlanetScope-0d06,2016-11-11T15:19:57Z,0,
20161111_164750_0c43_3B_AnalyticMS,126.7895357,PlanetScope-0c43,2016-11-11T16:47:50Z,0,
20161111_164751_1_0c43_3B_AnalyticMS,126.9470576,PlanetScope-0c43,2016-11-11T16:47:51Z,0,
20161111_164751_0c43_3B_AnalyticMS,126.9265237,PlanetScope-0c43,2016-11-11T16:47:51Z,0,
20161111_164752_0c43_3B_AnalyticMS,126.92663,PlanetScope-0c43,2016-11-11T16:47:52Z,0,
20161122_122454_0d06_3B_AnalyticMS,122.2736203,PlanetScope-0d06,2016-11-22T12:24:54Z,0,
20161122_122455_0d06_3B_AnalyticMS,122.3880606,PlanetScope-0d06,2016-11-22T12:24:55Z,0,
20161122_122456_0d06_3B_AnalyticMS,122.4238878,PlanetScope-0d06,2016-11-22T12:24:56Z,0,
20161122_122457_0d06_3B_AnalyticMS,122.4591768,PlanetScope-0d06,2016-11-22T12:24:57Z,0,
20161122_122522_1_0c78_3B_AnalyticMS,124.1587398,PlanetScope-0c78,2016-11-22T12:25:22Z,0,
20161122_122522_0c78_3B_AnalyticMS,124.2918791,PlanetScope-0c78,2016-11-22T12:25:22Z,0,
20161122_122523_0c78_3B_AnalyticMS,124.4156902,PlanetScope-0c78,2016-11-22T12:25:23Z,0,
20161122_122524_0c78_3B_AnalyticMS,124.3696133,PlanetScope-0c78,2016-11-22T12:25:24Z,0,
20161203_180515_0c75_3B_AnalyticMS,127.8188264,PlanetScope-0c75,2016-12-03T18:05:15Z,0,
20161214_134124_1_0c37_3B_AnalyticMS,126.3608569,PlanetScope-0c37,2016-12-14T13:41:24Z,0,
20161214_134124_0c37_3B_AnalyticMS,126.2312393,PlanetScope-0c37,2016-12-14T13:41:24Z,0,
20161214_134125_0c37_3B_AnalyticMS,126.0807201,PlanetScope-0c37,2016-12-14T13:41:25Z,8,
20161214_134126_0c37_3B_AnalyticMS,125.860377,PlanetScope-0c37,2016-12-14T13:41:26Z,9,
20161214_134127_0c37_3B_AnalyticMS,125.6331595,PlanetScope-0c37,2016-12-14T13:41:27Z,1,
20161214_134433_0c75_3B_AnalyticMS,126.5586752,PlanetScope-0c75,2016-12-14T13:44:33Z,0,
20161214_134434_0c75_3B_AnalyticMS,126.6115277,PlanetScope-0c75,2016-12-14T13:44:34Z,0,
20161214_134435_0c75_3B_AnalyticMS,126.3518409,PlanetScope-0c75,2016-12-14T13:44:35Z,9,
20161214_134436_0c75_3B_AnalyticMS,126.1937991,PlanetScope-0c75,2016-12-14T13:44:36Z,3,
20161214_134437_0c75_3B_AnalyticMS,125.6222913,PlanetScope-0c75,2016-12-14T13:44:37Z,0,
20161214_141013_0e20_3B_AnalyticMS,228.4171708,PlanetScope-0e20,2016-12-14T14:10:13Z,0,
20161214_141014_0e20_3B_AnalyticMS,228.9169295,PlanetScope-0e20,2016-12-14T14:10:14Z,0,
20161214_141015_0e20_3B_AnalyticMS,229.0224458,PlanetScope-0e20,2016-12-14T14:10:15Z,7,
20161214_141016_0e20_3B_AnalyticMS,229.6629487,PlanetScope-0e20,2016-12-14T14:10:16Z,18,
20161225_121824_0e20_3B_AnalyticMS,229.7138501,PlanetScope-0e20,2016-12-25T12:18:24Z,1,
20161225_121825_0e20_3B_AnalyticMS,229.6047186,PlanetScope-0e20,2016-12-25T12:18:25Z,4,
20161225_121826_0e20_3B_AnalyticMS,229.6620428,PlanetScope-0e20,2016-12-25T12:18:26Z,0,
20170101_185718_0c19_3B_Analytic,122.8301195,PlanetScope-0c19,2017-01-01T18:57:18Z,49,
20170101_185720_0c19_3B_Analytic,122.8151037,PlanetScope-0c19,2017-01-01T18:57:20Z,63,
20170104_121810_0e20_3B_Analytic,226.2675922,PlanetScope-0e20,2017-01-04T12:18:10Z,0,
20170105_170953_0c76_3B_AnalyticMS,119.9010568,PlanetScope-0c76,2017-01-05T17:09:53Z,0,
20170105_170954_0c76_3B_AnalyticMS,119.9769067,PlanetScope-0c76,2017-01-05T17:09:54Z,0,
20170107_121802_0e16_3B_Analytic,220.754507,PlanetScope-0e16,2017-01-07T12:18:02Z,22,
20170107_122957_0e2f_3B_Analytic,227.1313629,PlanetScope-0e2f,2017-01-07T12:29:57Z,42,
20170107_122958_0e2f_3B_Analytic,227.2307053,PlanetScope-0e2f,2017-01-07T12:29:58Z,48,
20170116_121837_0e0e_3B_AnalyticMS,221.9756681,PlanetScope-0e0e,2017-01-16T12:18:37Z,19,
20170116_121838_0e0e_3B_AnalyticMS,222.1273112,PlanetScope-0e0e,2017-01-16T12:18:38Z,1,
20170116_121840_0e0e_3B_AnalyticMS,221.9738089,PlanetScope-0e0e,2017-01-16T12:18:40Z,1,
20170116_121912_0e0d_3B_AnalyticMS,224.5363524,PlanetScope-0e0d,2017-01-16T12:19:12Z,1,
20170116_121913_0e0d_3B_AnalyticMS,225.3608738,PlanetScope-0e0d,2017-01-16T12:19:13Z,0,
20170116_121914_0e0d_3B_AnalyticMS,226.8593304,PlanetScope-0e0d,2017-01-16T12:19:14Z,0,
20170116_121914_0e0d_3B_Analytic,227.0889548,PlanetScope-0e0d,2017-01-16T12:19:14Z,0,
20170116_122132_0e3a_3B_Analytic,220.5427037,PlanetScope-0e3a,2017-01-16T12:21:32Z,86,
20170116_122133_0e3a_3B_Analytic,220.5467771,PlanetScope-0e3a,2017-01-16T12:21:33Z,54,
20170116_122927_0e26_3B_Analytic,220.9660111,PlanetScope-0e26,2017-01-16T12:29:27Z,65,
20170125_184255_0c37_3B_Analytic,126.8767715,PlanetScope-0c37,2017-01-25T18:42:55Z,16,
20170125_184257_1_0c37_3B_Analytic,126.9061977,PlanetScope-0c37,2017-01-25T18:42:57Z,13,
20170128_173232_0c60_3B_Analytic,120.4031303,PlanetScope-0c60,2017-01-28T17:32:32Z,30,
20170128_173233_0c60_3B_Analytic,120.3635796,PlanetScope-0c60,2017-01-28T17:32:33Z,25,
20170131_161454_0c42_3B_Analytic,121.1353575,PlanetScope-0c42,2017-01-31T16:14:54Z,29,
20170131_161455_0c42_3B_Analytic,121.1573286,PlanetScope-0c42,2017-01-31T16:14:55Z,25,
20170206_123355_0e0f_3B_Analytic,217.3124518,PlanetScope-0e0f,2017-02-06T12:33:55Z,16,
20170206_123356_0e0f_3B_Analytic,217.3504575,PlanetScope-0e0f,2017-02-06T12:33:56Z,32,
20170207_141254_0e14_3B_AnalyticMS,217.6679382,PlanetScope-0e14,2017-02-07T14:12:54Z,0,
20170207_141255_0e14_3B_AnalyticMS,218.1269059,PlanetScope-0e14,2017-02-07T14:12:55Z,0,
20170207_141256_0e14_3B_AnalyticMS,218.2772872,PlanetScope-0e14,2017-02-07T14:12:56Z,0,
20170209_123127_0e3a_3B_Analytic,218.9330686,PlanetScope-0e3a,2017-02-09T12:31:27Z,5,
20170209_123128_0e3a_3B_Analytic,218.8557803,PlanetScope-0e3a,2017-02-09T12:31:28Z,1,
20170209_123407_1_0c79_3B_Analytic,120.973446,PlanetScope-0c79,2017-02-09T12:34:07Z,23,
20170209_123408_0c79_3B_Analytic,120.7620403,PlanetScope-0c79,2017-02-09T12:34:08Z,0,
20170212_113741_0c46_3B_Analytic,119.8367904,PlanetScope-0c46,2017-02-12T11:37:41Z,0,
20170212_113742_1_0c46_3B_Analytic,119.8581529,PlanetScope-0c46,2017-02-12T11:37:42Z,0,
20170212_120226_1_0c45_3B_Analytic,136.3006753,PlanetScope-0c45,2017-02-12T12:02:26Z,0,
20170212_120226_0c45_3B_Analytic,136.3127421,PlanetScope-0c45,2017-02-12T12:02:26Z,0,
20170212_122154_0e1f_3B_Analytic,223.1765769,PlanetScope-0e1f,2017-02-12T12:21:54Z,18,
20170212_122155_0e1f_3B_Analytic,223.1586469,PlanetScope-0e1f,2017-02-12T12:21:55Z,33,
20170218_123247_0e30_3B_AnalyticMS,217.4062442,PlanetScope-0e30,2017-02-18T12:32:47Z,0,
20170218_123248_0e30_3B_AnalyticMS,217.0966423,PlanetScope-0e30,2017-02-18T12:32:48Z,0,
20170218_123248_0e30_3B_Analytic,217.597056,PlanetScope-0e30,2017-02-18T12:32:48Z,0,
20170218_123249_0e30_3B_AnalyticMS,217.3270829,PlanetScope-0e30,2017-02-18T12:32:49Z,0,
20170218_123249_0e30_3B_Analytic,217.5765146,PlanetScope-0e30,2017-02-18T12:32:49Z,0,
20170218_123251_0e30_3B_AnalyticMS,217.2947392,PlanetScope-0e30,2017-02-18T12:32:51Z,0,
20170221_122042_0e2f_3B_Analytic,226.2519457,PlanetScope-0e2f,2017-02-21T12:20:42Z,31,
20170221_122044_0e2f_3B_Analytic,226.3407643,PlanetScope-0e2f,2017-02-21T12:20:44Z,23,
20170224_122321_0e0d_3B_Analytic,230.3922429,PlanetScope-0e0d,2017-02-24T12:23:21Z,41,
20170311_123315_0e16_3B_Analytic,224.9220091,PlanetScope-0e16,2017-03-11T12:33:15Z,16,
20170311_123316_0e16_3B_Analytic,224.9457652,PlanetScope-0e16,2017-03-11T12:33:16Z,21,
20170311_123317_0e16_3B_Analytic,225.0255068,PlanetScope-0e16,2017-03-11T12:33:17Z,24,
20170317_121854_0e26_3B_Analytic,232.0240306,PlanetScope-0e26,2017-03-17T12:18:54Z,1,
20170320_112730_1_0c82_3B_Analytic,121.5076423,PlanetScope-0c82,2017-03-20T11:27:30Z,80,
20170323_102513_0c19_3B_AnalyticMS,116.8778706,PlanetScope-0c19,2017-03-23T10:25:13Z,0,
20170323_103644_0c46_3B_AnalyticMS,116.9622727,PlanetScope-0c46,2017-03-23T10:36:44Z,0,
20170323_103644_0c46_3B_Analytic,117.0961003,PlanetScope-0c46,2017-03-23T10:36:44Z,9,
20170323_103645_0c46_3B_AnalyticMS,116.9392076,PlanetScope-0c46,2017-03-23T10:36:45Z,0,
20170323_103645_0c46_3B_Analytic,117.0635448,PlanetScope-0c46,2017-03-23T10:36:45Z,42,
20170323_113951_0c76_3B_AnalyticMS,112.4090413,PlanetScope-0c76,2017-03-23T11:39:51Z,34,
20170323_113952_1_0c76_3B_AnalyticMS,112.6978173,PlanetScope-0c76,2017-03-23T11:39:52Z,7,
20170323_113952_0c76_3B_AnalyticMS,113.1179364,PlanetScope-0c76,2017-03-23T11:39:52Z,8,
20170323_113953_0c76_3B_AnalyticMS,112.952464,PlanetScope-0c76,2017-03-23T11:39:53Z,9,
20170323_122059_0e1f_3B_AnalyticMS,235.0461259,PlanetScope-0e1f,2017-03-23T12:20:59Z,18,
20170323_122100_0e1f_3B_AnalyticMS,235.1074529,PlanetScope-0e1f,2017-03-23T12:21:00Z,15,
20170323_122102_0e1f_3B_Analytic,235.6540734,PlanetScope-0e1f,2017-03-23T12:21:02Z,42,
20170323_122103_0e1f_3B_Analytic,235.7753879,PlanetScope-0e1f,2017-03-23T12:21:03Z,21,
20170326_123336_0e26_3B_Analytic,231.6706135,PlanetScope-0e26,2017-03-26T12:33:36Z,61,
20170326_123337_0e26_3B_Analytic,231.5599588,PlanetScope-0e26,2017-03-26T12:33:37Z,42,
20170326_182500_0c75_3B_Analytic,122.4952319,PlanetScope-0c75,2017-03-26T18:25:00Z,6,
20170329_171745_0c81_3B_Analytic,118.1501811,PlanetScope-0c81,2017-03-29T17:17:45Z,35,
20170329_171746_0c81_3B_Analytic,118.0977369,PlanetScope-0c81,2017-03-29T17:17:46Z,22,
20170329_172839_0c59_3B_Analytic,117.170027,PlanetScope-0c59,2017-03-29T17:28:39Z,17,
20170329_172840_0c59_3B_Analytic,117.2694051,PlanetScope-0c59,2017-03-29T17:28:40Z,4,
20170401_123419_0e1f_3B_Analytic,233.5907895,PlanetScope-0e1f,2017-04-01T12:34:19Z,31,
20170401_123420_0e1f_3B_Analytic,233.5327744,PlanetScope-0e1f,2017-04-01T12:34:20Z,51,
20170403_150644_0c24_3B_AnalyticMS,120.6436717,PlanetScope-0c24,2017-04-03T15:06:44Z,0,
20170404_122407_1029_3B_Analytic,231.9816654,PlanetScope-1029,2017-04-04T12:24:07Z,34,
20170404_122408_1029_3B_Analytic,231.9733694,PlanetScope-1029,2017-04-04T12:24:08Z,18,
20170414_121250_0f35_3B_AnalyticMS,230.8273968,PlanetScope-0f35,2017-04-14T12:12:50Z,0,
20170414_121251_0f35_3B_AnalyticMS,231.2793917,PlanetScope-0f35,2017-04-14T12:12:51Z,0,
20170414_141343_0e26_3B_AnalyticMS,222.0133559,PlanetScope-0e26,2017-04-14T14:13:43Z,0,
20170414_141344_0e26_3B_AnalyticMS,222.3341638,PlanetScope-0e26,2017-04-14T14:13:44Z,0,
20170414_141345_0e26_3B_AnalyticMS,222.4463026,PlanetScope-0e26,2017-04-14T14:13:45Z,0,
20170414_141346_0e26_3B_AnalyticMS,222.6375527,PlanetScope-0e26,2017-04-14T14:13:46Z,0,
20170416_122305_0e1f_3B_Analytic,228.3660282,PlanetScope-0e1f,2017-04-16T12:23:05Z,3,
20170416_122306_0e1f_3B_Analytic,228.3869765,PlanetScope-0e1f,2017-04-16T12:23:06Z,15,
20170416_122522_1005_3B_Analytic,231.7500777,PlanetScope-1005,2017-04-16T12:25:22Z,25,
20170416_122523_1005_3B_Analytic,231.7564032,PlanetScope-1005,2017-04-16T12:25:23Z,46,
20170419_121336_102f_3B_Analytic,229.5778406,PlanetScope-102f,2017-04-19T12:13:36Z,0,
20170419_121337_102f_3B_Analytic,229.481089,PlanetScope-102f,2017-04-19T12:13:37Z,11,
20170422_122557_0f34_3B_Analytic,229.6512511,PlanetScope-0f34,2017-04-22T12:25:57Z,15,
20170422_122558_0f34_3B_Analytic,229.6601125,PlanetScope-0f34,2017-04-22T12:25:58Z,4,
20170425_122601_100f_3B_Analytic,229.2227917,PlanetScope-100f,2017-04-25T12:26:01Z,26,
20170425_122602_100f_3B_Analytic,229.2917818,PlanetScope-100f,2017-04-25T12:26:02Z,30,
20170425_123454_0e1f_3B_AnalyticMS,226.510589,PlanetScope-0e1f,2017-04-25T12:34:54Z,0,
20170425_123456_0e1f_3B_AnalyticMS,225.9056036,PlanetScope-0e1f,2017-04-25T12:34:56Z,0,
20170425_123456_0e1f_3B_Analytic,225.9103984,PlanetScope-0e1f,2017-04-25T12:34:56Z,0,
20170425_123457_0e1f_3B_AnalyticMS,226.2060621,PlanetScope-0e1f,2017-04-25T12:34:57Z,0,
20170425_123457_0e1f_3B_Analytic,226.2078415,PlanetScope-0e1f,2017-04-25T12:34:57Z,0,
20170425_123458_0e1f_3B_AnalyticMS,225.9268959,PlanetScope-0e1f,2017-04-25T12:34:58Z,0,
20170425_140804_1016_3B_AnalyticMS,228.1806038,PlanetScope-1016,2017-04-25T14:08:04Z,11,
20170425_140805_1016_3B_AnalyticMS,134.0566731,PlanetScope-1016,2017-04-25T14:08:05Z,17,
20170425_140806_1016_3B_AnalyticMS,221.6204524,PlanetScope-1016,2017-04-25T14:08:06Z,0,
20170501_121408_1019_3B_Analytic,229.7374851,PlanetScope-1019,2017-05-01T12:14:08Z,0,
20170501_121705_1041_3B_Analytic,229.1000461,PlanetScope-1041,2017-05-01T12:17:05Z,20,
20170501_121706_1041_3B_Analytic,229.1211514,PlanetScope-1041,2017-05-01T12:17:06Z,40,
20170501_122827_102e_3B_Analytic,229.5293537,PlanetScope-102e,2017-05-01T12:28:27Z,0,
20170501_122828_102e_3B_Analytic,229.6049409,PlanetScope-102e,2017-05-01T12:28:28Z,0,
20170504_122340_0e26_3B_Analytic,217.3448914,PlanetScope-0e26,2017-05-04T12:23:40Z,7,
20170504_122341_0e26_3B_Analytic,217.2828857,PlanetScope-0e26,2017-05-04T12:23:41Z,3,
20170506_140755_103b_3B_AnalyticMS,225.1474168,PlanetScope-103b,2017-05-06T14:07:55Z,0,
20170506_140756_103b_3B_AnalyticMS,225.5421756,PlanetScope-103b,2017-05-06T14:07:56Z,0,
20170506_140757_103b_3B_AnalyticMS,225.7700485,PlanetScope-103b,2017-05-06T14:07:57Z,0,
20170506_140759_103b_3B_AnalyticMS,226.1723082,PlanetScope-103b,2017-05-06T14:07:59Z,0,
20170507_122822_100c_3B_Analytic,227.9561273,PlanetScope-100c,2017-05-07T12:28:22Z,58,
20170507_122823_100c_3B_Analytic,227.9884824,PlanetScope-100c,2017-05-07T12:28:23Z,39,
20170507_123343_0e3a_3B_Analytic,216.9397316,PlanetScope-0e3a,2017-05-07T12:33:43Z,56,
20170507_123345_0e3a_3B_Analytic,216.9383298,PlanetScope-0e3a,2017-05-07T12:33:45Z,43,
20170510_122113_0e1f_3B_Analytic,220.7149386,PlanetScope-0e1f,2017-05-10T12:21:13Z,24,
20170510_122114_0e1f_3B_Analytic,220.7391094,PlanetScope-0e1f,2017-05-10T12:21:14Z,2,
20170510_122803_101a_3B_Analytic,227.3020865,PlanetScope-101a,2017-05-10T12:28:03Z,10,
20170510_122804_101a_3B_Analytic,227.3035093,PlanetScope-101a,2017-05-10T12:28:04Z,46,
20170510_154823_0c45_3B_Analytic,127.9968898,PlanetScope-0c45,2017-05-10T15:48:23Z,74,
20170513_123407_0e26_3B_Analytic,216.6157299,PlanetScope-0e26,2017-05-13T12:34:07Z,0,
20170513_123408_0e26_3B_Analytic,216.6998386,PlanetScope-0e26,2017-05-13T12:34:08Z,0,
20170516_122031_0e19_3B_Analytic,219.1639486,PlanetScope-0e19,2017-05-16T12:20:31Z,31,
20170516_122032_0e19_3B_Analytic,219.2010251,PlanetScope-0e19,2017-05-16T12:20:32Z,31,
20170516_122740_1033_3B_Analytic,224.5460769,PlanetScope-1033,2017-05-16T12:27:40Z,79,
20170516_122743_1033_3B_Analytic,237.4579395,PlanetScope-1033,2017-05-16T12:27:43Z,96,
20170525_121507_1004_3B_Analytic,225.7025025,PlanetScope-1004,2017-05-25T12:15:07Z,0,
20170525_122953_103b_3B_Analytic,223.1060477,PlanetScope-103b,2017-05-25T12:29:53Z,0,
20170525_122954_103b_3B_Analytic,223.1053331,PlanetScope-103b,2017-05-25T12:29:54Z,0,
20170531_121541_1023_3B_Analytic,221.7483939,PlanetScope-1023,2017-05-31T12:15:41Z,26,
20170531_121542_1023_3B_Analytic,221.9244849,PlanetScope-1023,2017-05-31T12:15:42Z,6,
20170531_122630_102a_3B_Analytic,224.0054084,PlanetScope-102a,2017-05-31T12:26:30Z,71,
20170531_122631_102a_3B_Analytic,224.1433387,PlanetScope-102a,2017-05-31T12:26:31Z,65,
20170531_164519_0c54_3B_Analytic,129.2017689,PlanetScope-0c54,2017-05-31T16:45:19Z,24,
20170531_164520_0c54_3B_Analytic,129.2325327,PlanetScope-0c54,2017-05-31T16:45:20Z,35,
20170603_122728_0f34_3B_Analytic,220.4726451,PlanetScope-0f34,2017-06-03T12:27:28Z,79,
20170603_122729_0f34_3B_Analytic,220.6553866,PlanetScope-0f34,2017-06-03T12:27:29Z,50,
20170603_144232_0c37_3B_Analytic,117.0137232,PlanetScope-0c37,2017-06-03T14:42:32Z,0,
20170603_144234_1_0c37_3B_Analytic,116.8509496,PlanetScope-0c37,2017-06-03T14:42:34Z,0,
20170608_121852_0f52_3B_AnalyticMS,219.4045777,PlanetScope-0f52,2017-06-08T12:18:52Z,0,
20170608_121853_0f52_3B_AnalyticMS,219.3909721,PlanetScope-0f52,2017-06-08T12:18:53Z,0,
20170608_140854_1033_3B_AnalyticMS,209.0739395,PlanetScope-1033,2017-06-08T14:08:54Z,0,
20170608_141027_0f15_3B_AnalyticMS,220.4266368,PlanetScope-0f15,2017-06-08T14:10:27Z,0,
20170608_141530_0e30_3B_AnalyticMS,214.5169569,PlanetScope-0e30,2017-06-08T14:15:30Z,0,
20170608_141531_0e30_3B_AnalyticMS,214.9474597,PlanetScope-0e30,2017-06-08T14:15:31Z,0,
20170608_141532_0e30_3B_AnalyticMS,215.1672407,PlanetScope-0e30,2017-06-08T14:15:32Z,0,
20170608_141534_0e30_3B_AnalyticMS,215.3789016,PlanetScope-0e30,2017-06-08T14:15:34Z,0,
20170609_121616_0f41_3B_Analytic,222.741243,PlanetScope-0f41,2017-06-09T12:16:16Z,23,
20170609_121917_0f22_3B_Analytic,220.4227596,PlanetScope-0f22,2017-06-09T12:19:17Z,0,
20170609_121918_0f22_3B_Analytic,220.4165516,PlanetScope-0f22,2017-06-09T12:19:18Z,5,
20170609_122701_100c_3B_Analytic,219.2546736,PlanetScope-100c,2017-06-09T12:27:01Z,73,
20170609_122702_100c_3B_Analytic,219.24853,PlanetScope-100c,2017-06-09T12:27:02Z,74,
20170609_131049_0c0b_3B_Analytic,125.674735,PlanetScope-0c0b,2017-06-09T13:10:49Z,57,
20170609_131050_0c0b_3B_Analytic,125.4753342,PlanetScope-0c0b,2017-06-09T13:10:50Z,47,
20170612_121425_1041_3B_Analytic,222.2676047,PlanetScope-1041,2017-06-12T12:14:25Z,63,
20170612_121930_101a_3B_Analytic,218.5915915,PlanetScope-101a,2017-06-12T12:19:30Z,1,
20170612_122743_1004_3B_Analytic,220.4205157,PlanetScope-1004,2017-06-12T12:27:43Z,36,
20170612_122745_1004_3B_Analytic,220.7439884,PlanetScope-1004,2017-06-12T12:27:45Z,63,
20170615_121613_102d_3B_Analytic,216.2864754,PlanetScope-102d,2017-06-15T12:16:13Z,45,
20170615_122902_1018_3B_Analytic,216.6114813,PlanetScope-1018,2017-06-15T12:29:02Z,64,
20170615_123618_0e26_3B_Analytic,226.4859258,PlanetScope-0e26,2017-06-15T12:36:18Z,64,
20170618_121712_0f28_3B_Analytic,218.6140914,PlanetScope-0f28,2017-06-18T12:17:12Z,0,
20170618_121713_103d_3B_Analytic,221.484168,PlanetScope-103d,2017-06-18T12:17:13Z,0,
20170618_121840_100b_3B_Analytic,217.7180744,PlanetScope-100b,2017-06-18T12:18:40Z,1,
20170618_121956_0f31_3B_Analytic,218.1304895,PlanetScope-0f31,2017-06-18T12:19:56Z,26,
20170618_122822_1009_3B_Analytic,221.6177794,PlanetScope-1009,2017-06-18T12:28:22Z,25,
20170618_122823_1009_3B_Analytic,221.7231491,PlanetScope-1009,2017-06-18T12:28:23Z,2,
20170618_122923_1023_3B_Analytic,219.4401087,PlanetScope-1023,2017-06-18T12:29:23Z,73,
20170618_122924_1023_3B_Analytic,219.4505243,PlanetScope-1023,2017-06-18T12:29:24Z,44,
20170619_121644_0f35_3B_AnalyticMS,219.8073183,PlanetScope-0f35,2017-06-19T12:16:44Z,0,
20170619_121646_0f35_3B_AnalyticMS,120.7369974,PlanetScope-0f35,2017-06-19T12:16:46Z,0,
20170619_121715_101f_3B_AnalyticMS,217.8849812,PlanetScope-101f,2017-06-19T12:17:15Z,0,
20170619_121716_101f_3B_AnalyticMS,217.880069,PlanetScope-101f,2017-06-19T12:17:16Z,0,
20170619_123017_102d_3B_AnalyticMS,216.048112,PlanetScope-102d,2017-06-19T12:30:17Z,0,
20170619_123018_102d_3B_AnalyticMS,216.2089764,PlanetScope-102d,2017-06-19T12:30:18Z,0,
20170619_123019_102d_3B_AnalyticMS,216.307886,PlanetScope-102d,2017-06-19T12:30:19Z,0,
20170619_123020_102d_3B_AnalyticMS,216.2290124,PlanetScope-102d,2017-06-19T12:30:20Z,0,
20170619_123022_102d_3B_AnalyticMS,216.0120316,PlanetScope-102d,2017-06-19T12:30:22Z,0,
20170619_123456_0e0e_3B_AnalyticMS,227.9538194,PlanetScope-0e0e,2017-06-19T12:34:56Z,0,
20170619_123457_0e0e_3B_AnalyticMS,227.9636785,PlanetScope-0e0e,2017-06-19T12:34:57Z,0,
