id,area_kmsq,landsat:scene_id,platform,datetime,eo:cloud_cover,annotated_sites
LC08_L2SP_029031_20130330_20200912_02_T1_SR,33375.36445,LC80290312013089LGN02,LANDSAT_8,2013-03-30T17:10:31.146755Z,25.21,
LC08_L1TP_220076_20130331_20200912_02_T1,33557.15069,LC82200762013090LGN05,LANDSAT_8,2013-03-31T13:11:14.149917Z,20.71,
LC08_L2SP_220076_20130331_20200912_02_T1_SR,33557.15069,LC82200762013090LGN05,LANDSAT_8,2013-03-31T13:11:14.149917Z,20.71,
LC08_L1GT_019036_20130331_20200913_02_T2,33327.30272,LC80190362013090LGN02,LANDSAT_8,2013-03-31T16:12:30.358196Z,99.95,
LC08_L2SP_019036_20130331_20200913_02_T2_SR,33327.30272,LC80190362013090LGN02,LANDSAT_8,2013-03-31T16:12:30.358196Z,99.95,
LC08_L1TP_194027_20130401_20200913_02_T1,33367.28903,LC81940272013091LGN02,LANDSAT_8,2013-04-01T10:13:13.763439Z,23.47,
LC08_L2SP_194027_20130401_20200913_02_T1_SR,33367.28903,LC81940272013091LGN02,LANDSAT_8,2013-04-01T10:13:13.763439Z,23.47,
LC08_L1TP_041036_20130401_20200912_02_T1,33333.78338,LC80410362013091LGN02,LANDSAT_8,2013-04-01T18:29:39.490465Z,36.43,
LC08_L2SP_041036_20130401_20200912_02_T1_SR,33333.78338,LC80410362013091LGN02,LANDSAT_8,2013-04-01T18:29:39.490465Z,36.43,
LC08_L1TP_041037_20130401_20200913_02_T1,33339.9569,LC80410372013091LGN02,LANDSAT_8,2013-04-01T18:30:03.275602Z,55.8,
LC08_L2SP_041037_20130401_20200913_02_T1_SR,33339.9569,LC80410372013091LGN02,LANDSAT_8,2013-04-01T18:30:03.275602Z,55.8,
LC08_L1TP_216076_20130402_20200912_02_T1,33597.48009,LC82160762013092LGN02,LANDSAT_8,2013-04-02T12:49:49.261360Z,46.21,
LC08_L2SP_216076_20130402_20200912_02_T1_SR,33597.48009,LC82160762013092LGN02,LANDSAT_8,2013-04-02T12:49:49.261360Z,46.21,
LC08_L1TP_028031_20130404_20200912_02_T1,33372.79304,LC80280312013094LGN02,LANDSAT_8,2013-04-04T17:06:19.088325Z,14.94,
LC08_L2SP_028031_20130404_20200912_02_T1_SR,33372.79304,LC80280312013094LGN02,LANDSAT_8,2013-04-04T17:06:19.088325Z,14.94,
LC08_L1TP_028032_20130404_20200912_02_T1,33370.20631,LC80280322013094LGN02,LANDSAT_8,2013-04-04T17:06:42.869226Z,1.11,
LC08_L2SP_028032_20130404_20200912_02_T1_SR,33370.20631,LC80280322013094LGN02,LANDSAT_8,2013-04-04T17:06:42.869226Z,1.11,
LC08_L1GT_219076_20130405_20200912_02_T2,33601.68796,LC82190762013095LGN03,LANDSAT_8,2013-04-05T13:07:05.056673Z,99.98,
LC08_L2SP_219076_20130405_20200912_02_T2_SR,33601.68796,LC82190762013095LGN03,LANDSAT_8,2013-04-05T13:07:05.056673Z,99.98,
LC08_L1TP_002072_20130405_20200913_02_T1,33391.41,LC80020722013095LGN02,LANDSAT_8,2013-04-05T14:44:04.167777Z,0.1,"PE_R001_0011, PE_R001_0012, PE_R001_0014, PE_R001_0021, PE_R001_0022, PE_R001_0026, PE_R001_0028, PE_R001_0032"
LC08_L2SP_002072_20130405_20200913_02_T1_SR,33391.41,LC80020722013095LGN02,LANDSAT_8,2013-04-05T14:44:04.167777Z,0.1,
LC08_L1TP_018036_20130405_20200912_02_T1,33339.31009,LC80180362013095LGN02,LANDSAT_8,2013-04-05T16:08:21.506386Z,55.62,
LC08_L2SP_018036_20130405_20200912_02_T1_SR,33339.31009,LC80180362013095LGN02,LANDSAT_8,2013-04-05T16:08:21.506386Z,55.62,
LC08_L1TP_018037_20130405_20200912_02_T1,33341.87536,LC80180372013095LGN02,LANDSAT_8,2013-04-05T16:08:45.295759Z,67.68,
LC08_L2SP_018037_20130405_20200912_02_T1_SR,33341.87536,LC80180372013095LGN02,LANDSAT_8,2013-04-05T16:08:45.295759Z,67.68,
LO08_L1TP_040036_20130406_20200925_02_T1,34068.2398,LO80400362013096LGN02,LANDSAT_8,2013-04-06T18:25:34.298432Z,63.47,
LO08_L1TP_040037_20130406_20200925_02_T1,34095.5377,LO80400372013096LGN02,LANDSAT_8,2013-04-06T18:25:58.083569Z,2.19,
LC08_L1GT_021030_20130408_20200912_02_T2,33833.5372,LC80210302013098LGN02,LANDSAT_8,2013-04-08T16:25:08.771794Z,46.62,
LC08_L2SP_021030_20130408_20200912_02_T2_SR,33833.5372,LC80210302013098LGN02,LANDSAT_8,2013-04-08T16:25:08.771794Z,46.62,
LC08_L1GT_028031_20130409_20200912_02_T2,33834.47806,LC80280312013099LGN03,LANDSAT_8,2013-04-09T17:06:38.726047Z,99.99,
LC08_L2SP_028031_20130409_20200912_02_T2_SR,33834.47806,LC80280312013099LGN03,LANDSAT_8,2013-04-09T17:06:38.726047Z,99.99,
LC08_L1GT_028032_20130409_20200913_02_T2,33833.25426,LC80280322013099LGN03,LANDSAT_8,2013-04-09T17:07:02.583196Z,95.5,
LC08_L2SP_028032_20130409_20200913_02_T2_SR,33833.25426,LC80280322013099LGN03,LANDSAT_8,2013-04-09T17:07:02.583196Z,95.5,
LC08_L1TP_188021_20130410_20200912_02_T1,33880.04933,LC81880212013100LGN02,LANDSAT_8,2013-04-10T09:30:04.085140Z,40.32,
LC08_L2SP_188021_20130410_20200912_02_T1_SR,33880.04933,LC81880212013100LGN02,LANDSAT_8,2013-04-10T09:30:04.085140Z,40.32,
LC08_L1GT_188022_20130410_20200913_02_T2,33881.29841,LC81880222013100LGN02,LANDSAT_8,2013-04-10T09:30:27.929581Z,83.12,
LC08_L2SP_188022_20130410_20200913_02_T2_SR,33881.29841,LC81880222013100LGN02,LANDSAT_8,2013-04-10T09:30:27.929581Z,83.12,
LC08_L1TP_220076_20130410_20200912_02_T1,34151.3,LC82200762013100LGN03,LANDSAT_8,2013-04-10T13:09:27.237507Z,85.03,
LC08_L2SP_220076_20130410_20200912_02_T1_SR,34151.3,LC82200762013100LGN03,LANDSAT_8,2013-04-10T13:09:27.237507Z,85.03,
LC08_L1TP_003072_20130410_20200913_02_T1,34003.92585,LC80030722013100LGN02,LANDSAT_8,2013-04-10T14:46:35.811838Z,26,
LC08_L2SP_003072_20130410_20200913_02_T1_SR,34003.92585,LC80030722013100LGN02,LANDSAT_8,2013-04-10T14:46:35.811838Z,26,
LC08_L1TP_018036_20130410_20200913_02_T1,33837.73581,LC80180362013100LGN03,LANDSAT_8,2013-04-10T16:10:59.542572Z,4.69,
LC08_L2SP_018036_20130410_20200913_02_T1_SR,33837.73581,LC80180362013100LGN03,LANDSAT_8,2013-04-10T16:10:59.542572Z,4.69,
LC08_L1TP_114034_20130411_20200913_02_T1,33857.37464,LC81140342013101LGN02,LANDSAT_8,2013-04-11T02:02:38.154415Z,70.19,
LC08_L2SP_114034_20130411_20200913_02_T1_SR,33857.37464,LC81140342013101LGN02,LANDSAT_8,2013-04-11T02:02:38.154415Z,70.19,
LC08_L1TP_194027_20130411_20200913_02_T1,33824.52946,LC81940272013101LGN02,LANDSAT_8,2013-04-11T10:13:33.130213Z,94.98,
LC08_L2SP_194027_20130411_20200913_02_T1_SR,33824.52946,LC81940272013101LGN02,LANDSAT_8,2013-04-11T10:13:33.130213Z,94.98,
LC08_L1TP_041036_20130411_20200912_02_T1,33851.87,LC80410362013101LGN03,LANDSAT_8,2013-04-11T18:30:50.023736Z,0.19,
LC08_L2SP_041036_20130411_20200912_02_T1_SR,33851.87,LC80410362013101LGN03,LANDSAT_8,2013-04-11T18:30:50.023736Z,0.19,
LC08_L1TP_041037_20130411_20200912_02_T1,33864.25523,LC80410372013101LGN03,LANDSAT_8,2013-04-11T18:31:13.897829Z,30.43,
LC08_L2SP_041037_20130411_20200912_02_T1_SR,33864.25523,LC80410372013101LGN03,LANDSAT_8,2013-04-11T18:31:13.897829Z,30.43,
LC08_L1TP_073090_20130411_20200913_02_T1,34417.35469,LC80730902013101LGN02,LANDSAT_8,2013-04-11T22:09:50.979454Z,69.83,
LC08_L2SP_073090_20130411_20200913_02_T1_SR,34417.35469,LC80730902013101LGN02,LANDSAT_8,2013-04-11T22:09:50.979454Z,69.83,
LC08_L1TP_217076_20130412_20200913_02_T1,34202.91422,LC82170762013102LGN02,LANDSAT_8,2013-04-12T12:53:47.234886Z,21.84,"BR_Rxxx_0104, BR_Rxxx_0105"
LC08_L2SP_217076_20130412_20200913_02_T1_SR,34202.91422,LC82170762013102LGN02,LANDSAT_8,2013-04-12T12:53:47.234886Z,21.84,
LC08_L1TP_016039_20130412_20200912_02_T1,34015.85602,LC80160392013102LGN03,LANDSAT_8,2013-04-12T15:56:48.483203Z,62.88,
LC08_L2SP_016039_20130412_20200912_02_T1_SR,34015.85602,LC80160392013102LGN03,LANDSAT_8,2013-04-12T15:56:48.483203Z,62.88,
LC08_L1TP_160043_20130413_20200913_02_T1,33992.89594,LC81600432013103LGN02,LANDSAT_8,2013-04-13T06:48:22.124881Z,0.12,"AE_R001_0225, AE_R001_0316, AE_R001_0325, AE_R001_0331, AE_R001_0350"
LC08_L2SP_160043_20130413_20200913_02_T1_SR,33992.89594,LC81600432013103LGN02,LANDSAT_8,2013-04-13T06:48:22.124881Z,0.12,
LC08_L1TP_028031_20130416_20200912_02_T1,34054.55621,LC80280312013106LGN03,LANDSAT_8,2013-04-16T17:07:48.821668Z,40.6,
LC08_L2SP_028031_20130416_20200912_02_T1_SR,34054.55621,LC80280312013106LGN03,LANDSAT_8,2013-04-16T17:07:48.821668Z,40.6,
LC08_L1GT_028032_20130416_20200913_02_T2,34047.65895,LC80280322013106LGN03,LANDSAT_8,2013-04-16T17:08:12.712705Z,90.52,
LC08_L2SP_028032_20130416_20200913_02_T2_SR,34047.65895,LC80280322013106LGN03,LANDSAT_8,2013-04-16T17:08:12.712705Z,90.52,
LC08_L1TP_003072_20130417_20200912_02_T1,34072.1826,LC80030722013107LGN02,LANDSAT_8,2013-04-17T14:49:38.292617Z,34.48,
LC08_L2SP_003072_20130417_20200912_02_T1_SR,34072.1826,LC80030722013107LGN02,LANDSAT_8,2013-04-17T14:49:38.292617Z,34.48,
LC08_L1TP_019036_20130417_20200912_02_T1,34003.63112,LC80190362013107LGN03,LANDSAT_8,2013-04-17T16:14:10.533461Z,51.73,
LC08_L2SP_019036_20130417_20200912_02_T1_SR,34003.63112,LC80190362013107LGN03,LANDSAT_8,2013-04-17T16:14:10.533461Z,51.73,
LC08_L1TP_163042_20130418_20200913_02_T1,34006.4286,LC81630422013108LGN02,LANDSAT_8,2013-04-18T07:06:31.139595Z,13.34,
LC08_L2SP_163042_20130418_20200913_02_T1_SR,34006.4286,LC81630422013108LGN02,LANDSAT_8,2013-04-18T07:06:31.139595Z,13.34,
LC08_L1TP_195027_20130418_20200913_02_T1,34053.3037,LC81950272013108LGN02,LANDSAT_8,2013-04-18T10:18:18.812498Z,47.06,
LC08_L2SP_195027_20130418_20200913_02_T1_SR,34053.3037,LC81950272013108LGN02,LANDSAT_8,2013-04-18T10:18:18.812498Z,47.06,
LC08_L1TP_195028_20130418_20200913_02_T1,34030.31302,LC81950282013108LGN02,LANDSAT_8,2013-04-18T10:18:42.699300Z,8.67,
LC08_L2SP_195028_20130418_20200913_02_T1_SR,34030.31302,LC81950282013108LGN02,LANDSAT_8,2013-04-18T10:18:42.699300Z,8.67,
LC08_L1TP_042033_20130418_20200913_02_T1,33961.96651,LC80420332013108LGN03,LANDSAT_8,2013-04-18T18:35:07.375600Z,3.63,US_R005_0008
LC08_L2SP_042033_20130418_20200913_02_T1_SR,33961.96651,LC80420332013108LGN03,LANDSAT_8,2013-04-18T18:35:07.375600Z,3.63,
LC08_L1TP_074090_20130418_20200912_02_T1,34435.76485,LC80740902013108LGN02,LANDSAT_8,2013-04-18T22:15:37.045830Z,96.36,
LC08_L2SP_074090_20130418_20200912_02_T1_SR,34435.76485,LC80740902013108LGN02,LANDSAT_8,2013-04-18T22:15:37.045830Z,96.36,
LC08_L1GT_170083_20130419_20200913_02_T2,34312.77716,LC81700832013109LGN03,LANDSAT_8,2013-04-19T08:06:07.500358Z,95,
LC08_L2SP_170083_20130419_20200913_02_T2_SR,34312.77716,LC81700832013109LGN03,LANDSAT_8,2013-04-19T08:06:07.500358Z,95,
LC08_L1TP_218075_20130419_20200912_02_T1,34154.85669,LC82180752013109LGN02,LANDSAT_8,2013-04-19T12:59:34.792236Z,58.93,
LC08_L2SP_218075_20130419_20200912_02_T1_SR,34154.85669,LC82180752013109LGN02,LANDSAT_8,2013-04-19T12:59:34.792236Z,58.93,
LC08_L1TP_218076_20130419_20200912_02_T1,34184.28737,LC82180762013109LGN02,LANDSAT_8,2013-04-19T12:59:58.742578Z,32.64,
LC08_L2SP_218076_20130419_20200912_02_T1_SR,34184.28737,LC82180762013109LGN02,LANDSAT_8,2013-04-19T12:59:58.742578Z,32.64,
LC08_L1TP_017037_20130419_20200912_02_T1,35632.18676,LC80170372013109LGN02,LANDSAT_8,2013-04-19T16:02:15.665388Z,95.99,
LC08_L2SP_017037_20130419_20200912_02_T1_SR,35632.18676,LC80170372013109LGN02,LANDSAT_8,2013-04-19T16:02:15.665388Z,95.99,
LC08_L1TP_029031_20130423_20200912_02_T1,34049.17283,LC80290312013113LGN02,LANDSAT_8,2013-04-23T17:13:56.935707Z,55.32,
LC08_L2SP_029031_20130423_20200912_02_T1_SR,34049.17283,LC80290312013113LGN02,LANDSAT_8,2013-04-23T17:13:56.935707Z,55.32,
LC08_L1TP_196027_20130425_20200912_02_T1,34062.20073,LC81960272013115LGN02,LANDSAT_8,2013-04-25T10:24:26.621311Z,1.43,CH_R002_0012
LC08_L2SP_196027_20130425_20200912_02_T1_SR,34062.20073,LC81960272013115LGN02,LANDSAT_8,2013-04-25T10:24:26.621311Z,1.43,
LC08_L1TP_043032_20130425_20200913_02_T1,33988.36,LC80430322013115LGN03,LANDSAT_8,2013-04-25T18:40:51.238290Z,13.5,
LC08_L2SP_043032_20130425_20200913_02_T1_SR,33988.36,LC80430322013115LGN03,LANDSAT_8,2013-04-25T18:40:51.238290Z,13.5,
LC08_L1TP_043033_20130425_20200913_02_T1,33983.46,LC80430332013115LGN03,LANDSAT_8,2013-04-25T18:41:15.133563Z,4.23,"US_R004_0057, US_R005_0016, US_R005_0017, US_R005_0029, US_R005_0039"
LC08_L2SP_043033_20130425_20200913_02_T1_SR,33983.46,LC80430332013115LGN03,LANDSAT_8,2013-04-25T18:41:15.133563Z,4.23,
LC08_L1TP_171083_20130426_20200912_02_T1,34308.0373,LC81710832013116LGN02,LANDSAT_8,2013-04-26T08:12:15.181975Z,8.24,
LC08_L2SP_171083_20130426_20200912_02_T1_SR,34308.0373,LC81710832013116LGN02,LANDSAT_8,2013-04-26T08:12:15.181975Z,8.24,
LC08_L1TP_219076_20130426_20200912_02_T1,34177.33666,LC82190762013116LGN03,LANDSAT_8,2013-04-26T13:06:06.373329Z,11.68,"BR_R005_0006, BR_R005_0080, BR_R006_0025, BR_R006_0059"
LC08_L2SP_219076_20130426_20200912_02_T1_SR,34177.33666,LC82190762013116LGN03,LANDSAT_8,2013-04-26T13:06:06.373329Z,11.68,
LC08_L1TP_018036_20130426_20200912_02_T1,34014.58052,LC80180362013116LGN02,LANDSAT_8,2013-04-26T16:07:55.770592Z,0.01,
LC08_L2SP_018036_20130426_20200912_02_T1_SR,34014.58052,LC80180362013116LGN02,LANDSAT_8,2013-04-26T16:07:55.770592Z,0.01,
LC08_L1TP_018037_20130426_20200912_02_T1,34026.84376,LC80180372013116LGN02,LANDSAT_8,2013-04-26T16:08:19.665865Z,1.1,
LC08_L2SP_018037_20130426_20200912_02_T1_SR,34026.84376,LC80180372013116LGN02,LANDSAT_8,2013-04-26T16:08:19.665865Z,1.1,
LC08_L1TP_194027_20130427_20200912_02_T1,34058.14525,LC81940272013117LGN02,LANDSAT_8,2013-04-27T10:12:04.634129Z,93.49,
LC08_L2SP_194027_20130427_20200912_02_T1_SR,34058.14525,LC81940272013117LGN02,LANDSAT_8,2013-04-27T10:12:04.634129Z,93.49,
LC08_L1TP_041036_20130427_20200912_02_T1,34025.35476,LC80410362013117LGN04,LANDSAT_8,2013-04-27T18:30:05.230367Z,1.6,
LC08_L2SP_041036_20130427_20200912_02_T1_SR,34025.35476,LC80410362013117LGN04,LANDSAT_8,2013-04-27T18:30:05.230367Z,1.6,
LC08_L1TP_041037_20130427_20200912_02_T1,34038.10326,LC80410372013117LGN04,LANDSAT_8,2013-04-27T18:30:29.121404Z,73.74,
LC08_L2SP_041037_20130427_20200912_02_T1_SR,34038.10326,LC80410372013117LGN04,LANDSAT_8,2013-04-27T18:30:29.121404Z,73.74,
LC08_L1TP_217076_20130428_20200912_02_T1,34194.07,LC82170762013118LGN02,LANDSAT_8,2013-04-28T12:53:45.720508Z,13.23,"BR_Rxxx_0102, BR_Rxxx_0103"
LC08_L2SP_217076_20130428_20200912_02_T1_SR,34194.07,LC82170762013118LGN02,LANDSAT_8,2013-04-28T12:53:45.720508Z,13.23,
LC08_L1TP_016039_20130428_20200912_02_T1,34017.02474,LC80160392013118LGN04,LANDSAT_8,2013-04-28T15:56:46.926435Z,44.66,
LC08_L2SP_016039_20130428_20200912_02_T1_SR,34017.02474,LC80160392013118LGN04,LANDSAT_8,2013-04-28T15:56:46.926435Z,44.66,
LC08_L1TP_160043_20130429_20200912_02_T1,34000.89188,LC81600432013119LGN02,LANDSAT_8,2013-04-29T06:48:20.360327Z,60.68,
LC08_L2SP_160043_20130429_20200912_02_T1_SR,34000.89188,LC81600432013119LGN02,LANDSAT_8,2013-04-29T06:48:20.360327Z,60.68,
LC08_L1TP_021030_20130501_20200913_02_T1,34079.8114,LC80210302013121LGN03,LANDSAT_8,2013-05-01T16:24:07.666781Z,0.09,
LC08_L2SP_021030_20130501_20200913_02_T1_SR,34079.8114,LC80210302013121LGN03,LANDSAT_8,2013-05-01T16:24:07.666781Z,0.09,
LC08_L1TP_028031_20130502_20200912_02_T1,34064.39629,LC80280312013122LGN02,LANDSAT_8,2013-05-02T17:07:47.754529Z,70.55,
LC08_L2SP_028031_20130502_20200912_02_T1_SR,34064.39629,LC80280312013122LGN02,LANDSAT_8,2013-05-02T17:07:47.754529Z,70.55,
LC08_L1TP_028032_20130502_20200912_02_T1,34062.91381,LC80280322013122LGN02,LANDSAT_8,2013-05-02T17:08:11.637094Z,91.43,
LC08_L2SP_028032_20130502_20200912_02_T1_SR,34062.91381,LC80280322013122LGN02,LANDSAT_8,2013-05-02T17:08:11.637094Z,91.43,
LC08_L1TP_003072_20130503_20200912_02_T1,34068.60534,LC80030722013123LGN02,LANDSAT_8,2013-05-03T14:49:37.873221Z,20.9,
LC08_L2SP_003072_20130503_20200912_02_T1_SR,34068.60534,LC80030722013123LGN02,LANDSAT_8,2013-05-03T14:49:37.873221Z,20.9,
LC08_L1TP_163042_20130504_20200913_02_T1,34014.93,LC81630422013124LGN02,LANDSAT_8,2013-05-04T07:06:31.135072Z,6.1,
LC08_L2SP_163042_20130504_20200913_02_T1_SR,34014.93,LC81630422013124LGN02,LANDSAT_8,2013-05-04T07:06:31.135072Z,6.1,
LC08_L1TP_042033_20130504_20200912_02_T1,33974.67868,LC80420332013124LGN03,LANDSAT_8,2013-05-04T18:35:07.654709Z,2.28,
LC08_L2SP_042033_20130504_20200912_02_T1_SR,33974.67868,LC80420332013124LGN03,LANDSAT_8,2013-05-04T18:35:07.654709Z,2.28,
LC08_L1TP_170083_20130505_20200912_02_T1,34306.23,LC81700832013125LGN02,LANDSAT_8,2013-05-05T08:06:08.164745Z,1.27,
LC08_L2SP_170083_20130505_20200912_02_T1_SR,34306.23,LC81700832013125LGN02,LANDSAT_8,2013-05-05T08:06:08.164745Z,1.27,
LC08_L1TP_186022_20130505_20200913_02_T1,34150.16853,LC81860222013125LGN02,LANDSAT_8,2013-05-05T09:20:42.324797Z,17.89,
LC08_L2SP_186022_20130505_20200913_02_T1_SR,34150.16853,LC81860222013125LGN02,LANDSAT_8,2013-05-05T09:20:42.324797Z,17.89,
LC08_L1TP_218075_20130505_20200912_02_T1,34151.86358,LC82180752013125LGN02,LANDSAT_8,2013-05-05T12:59:35.583628Z,12.71,
LC08_L2SP_218075_20130505_20200912_02_T1_SR,34151.86358,LC82180752013125LGN02,LANDSAT_8,2013-05-05T12:59:35.583628Z,12.71,
LC08_L1TP_218076_20130505_20200913_02_T1,34186.68282,LC82180762013125LGN02,LANDSAT_8,2013-05-05T12:59:59.529733Z,18.3,
LC08_L2SP_218076_20130505_20200913_02_T1_SR,34186.68282,LC82180762013125LGN02,LANDSAT_8,2013-05-05T12:59:59.529733Z,18.3,
LC08_L1GT_196027_20130511_20200913_02_T2,34083.64165,LC81960272013131LGN02,LANDSAT_8,2013-05-11T10:24:36.146351Z,98.51,
LC08_L2SP_196027_20130511_20200913_02_T2_SR,34083.64165,LC81960272013131LGN02,LANDSAT_8,2013-05-11T10:24:36.146351Z,98.51,
LC08_L1TP_043032_20130511_20200913_02_T1,34005.60565,LC80430322013131LGN02,LANDSAT_8,2013-05-11T18:41:01.279974Z,2.24,
LC08_L2SP_043032_20130511_20200913_02_T1_SR,34005.60565,LC80430322013131LGN02,LANDSAT_8,2013-05-11T18:41:01.279974Z,2.24,
LC08_L1TP_043033_20130511_20200912_02_T1,33987.81011,LC80430332013131LGN02,LANDSAT_8,2013-05-11T18:41:25.175246Z,3.22,"US_R004_0057, US_R005_0016, US_R005_0017, US_R005_0029"
LC08_L2SP_043033_20130511_20200912_02_T1_SR,33987.81011,LC80430332013131LGN02,LANDSAT_8,2013-05-11T18:41:25.175246Z,3.22,
LC08_L1TP_171083_20130512_20200913_02_T1,34299.37,LC81710832013132LGN02,LANDSAT_8,2013-05-12T08:12:26.011378Z,0.52,
LC08_L2SP_171083_20130512_20200913_02_T1_SR,34299.37,LC81710832013132LGN02,LANDSAT_8,2013-05-12T08:12:26.011378Z,0.52,
LC08_L1TP_187022_20130512_20200913_02_T1,34154.79923,LC81870222013132LGN02,LANDSAT_8,2013-05-12T09:27:00.239200Z,76.61,
LC08_L2SP_187022_20130512_20200913_02_T1_SR,34154.79923,LC81870222013132LGN02,LANDSAT_8,2013-05-12T09:27:00.239200Z,76.61,
LC08_L1TP_219076_20130512_20200913_02_T1,34166.44638,LC82190762013132LGN02,LANDSAT_8,2013-05-12T13:06:17.516125Z,1.83,"BR_R005_0006, BR_R005_0080, BR_R005_0091, BR_R005_0098, BR_R006_0025, BR_R006_0059"
LC08_L2SP_219076_20130512_20200913_02_T1_SR,34166.44638,LC82190762013132LGN02,LANDSAT_8,2013-05-12T13:06:17.516125Z,1.83,
LC08_L1TP_018036_20130512_20200913_02_T1,34024.31539,LC80180362013132LGN03,LANDSAT_8,2013-05-12T16:08:07.125133Z,4.13,
LC08_L2SP_018036_20130512_20200913_02_T1_SR,34024.31539,LC80180362013132LGN03,LANDSAT_8,2013-05-12T16:08:07.125133Z,4.13,
LC08_L1TP_018037_20130512_20200913_02_T1,34034.32347,LC80180372013132LGN03,LANDSAT_8,2013-05-12T16:08:31.020406Z,3.11,
LC08_L2SP_018037_20130512_20200913_02_T1_SR,34034.32347,LC80180372013132LGN03,LANDSAT_8,2013-05-12T16:08:31.020406Z,3.11,
LC08_L1TP_114034_20130513_20200913_02_T1,34043.36562,LC81140342013133LGN02,LANDSAT_8,2013-05-13T02:00:37.962295Z,84.66,
LC08_L2SP_114034_20130513_20200913_02_T1_SR,34043.36562,LC81140342013133LGN02,LANDSAT_8,2013-05-13T02:00:37.962295Z,84.66,
LC08_L1GT_194027_20130513_20200912_02_T2,34069.06376,LC81940272013133LGN02,LANDSAT_8,2013-05-13T10:12:16.301769Z,99.99,
