id,area_kmsq,nitf:primary_image_identifier,nitf:auxiliary_image_identifier,nitf:source,mission,datetime,eo:cloud_cover,annotated_sites
08APR16161326-P1BS-011876001010_01_P001,287.4448638,P1022F6800,16APR08WV011100008APR16161326-P1BS-011876001010_01_P001,DigitalGlobe Acquired Image,WV01,2008-04-16T16:13:26Z,2,
08MAY23102956-P1BS-052107622010_01_P001,313.2350702,P10283F500,23MAY08WV010800008MAY23102956-P1BS-052107622010_01_P001         AAE 0AAAAABIABE0,DigitalGlobe Acquired Image,WV01,2008-05-23T10:29:56Z,4,
08MAY23103033-P1BS-005771269010_01_P001,336.4651535,P102E81200,23MAY08WV010800008MAY23103033-P1BS-005771269010_01_P001         AAE 0AAAAABIABF0,DigitalGlobe Acquired Image,WV01,2008-05-23T10:30:33Z,6,
08SEP09161849-P1BS-011875949010_01_P001,274.3611359,P104665000,09SEP08WV011200008SEP09161849-P1BS-011875949010_01_P001,DigitalGlobe Acquired Image,WV01,2008-09-09T16:18:49Z,17,
08SEP17070614-P1BS-052121024010_01_P013,323.4282145,P10446A600,17SEP08WV010600008SEP17070614-P1BS-052121024010_01_P013         AAE 0AAAAABIABF0,DigitalGlobe Acquired Image,WV01,2008-09-17T07:06:14Z,0,
08OCT04070918-P1BS-052062301010_01_P008,307.6231811,P1045A3F00,04OCT08WV010600008OCT04070918-P1BS-052062301010_01_P008         AAE 0AAAAABIABG0,DigitalGlobe Acquired Image,WV01,2008-10-04T07:09:18Z,0,
09JAN10071518-P1BS-052121024010_01_P067,321.369595,P10511F300,10JAN09WV010600009JAN10071518-P1BS-052121024010_01_P067         AAE 0AAAAABIABF0,DigitalGlobe Acquired Image,WV01,2009-01-10T07:15:18Z,0,
09MAR14103730-P1BS-052052901010_03_P006,5.472660118,P1067CDF00,14MAR09WV010800009MAR14103730-P1BS-052052901010_03_P006         AAE 0AMAAAAQAAD9,DigitalGlobe Acquired Image,WV01,2009-03-14T10:37:30Z,9,
09APR23162235-P1BS-011875955010_01_P001,266.1112553,P107D94400,23APR09WV011200009APR23162235-P1BS-011875955010_01_P001,DigitalGlobe Acquired Image,WV01,2009-04-23T16:22:35Z,0,
09MAY09162223-P1BS-011875980010_01_P001,266.9559789,P10994E500,09MAY09QB021200009MAY09162223-P1BS-011875980010_01_P001,DigitalGlobe Acquired Image,QB02,2009-05-09T16:22:23Z,2,
09MAY09162223-M1BS-011875980010_01_P001,266.4019838,M10994E500,09MAY09QB021200009MAY09162223-M1BS-011875980010_01_P001,DigitalGlobe Acquired Image,QB02,2009-05-09T16:22:23Z,3,US_R001_0003
09JUN12072044-P1BS-052185568010_01_P002,356.1079031,P108258200,12JUN09WV010500009JUN12072044-P1BS-052185568010_01_P002         AAE 0AAAAABIABE0,DigitalGlobe Acquired Image,WV01,2009-06-12T07:20:44Z,0,
09JUL18100146-P1BS-011778464010_01_P001,91.28619492,P101DA6700,18JUL09GE010800009JUL18100146-P1BS-011778464010_01_P001,DigitalGlobe Acquired Image,GE01,2009-07-18T10:01:46Z,0,
09JUL18100146-M1BS-011778464010_01_P001,91.32186378,M101DA6700,18JUL09GE010800009JUL18100146-M1BS-011778464010_01_P001,DigitalGlobe Acquired Image,GE01,2009-07-18T10:01:46Z,0,
09JUL30162223-P1BS-011875996010_01_P001,279.890206,P108EA2B00,30JUL09WV011200009JUL30162223-P1BS-011875996010_01_P001,DigitalGlobe Acquired Image,WV01,2009-07-30T16:22:23Z,17,US_R001_0003
09AUG31104547-P1BS-052052901010_04_P002,7.054990516,P109897400,31AUG09WV010800009AUG31104547-P1BS-052052901010_04_P002         AAE 0AOAATASAAX9,DigitalGlobe Acquired Image,WV01,2009-08-31T10:45:47Z,0,
09AUG31104555-P1BS-052052901010_04_P005,192.2921128,P108DC2400,31AUG09WV010800009AUG31104555-P1BS-052052901010_04_P005         AAE 0AAAAABIAAT0,DigitalGlobe Acquired Image,WV01,2009-08-31T10:45:55Z,1,CH_R001_0015
09SEP15095427-P1BS-011778447010_01_P001,114.9196489,P109EAA200,15SEP09WV010700009SEP15095427-P1BS-011778447010_01_P001,DigitalGlobe Acquired Image,WV01,2009-09-15T09:54:27Z,3,
09SEP24094304-P1BS-011778468010_01_P001,107.2029314,P10915F200,24SEP09WV010700009SEP24094304-P1BS-011778468010_01_P001,DigitalGlobe Acquired Image,WV01,2009-09-24T09:43:04Z,13,
09OCT15094922-P1BS-011778474010_01_P001,103.0916525,P109A12A00,15OCT09WV010800009OCT15094922-P1BS-011778474010_01_P001,DigitalGlobe Acquired Image,WV01,2009-10-15T09:49:22Z,2,
09OCT31163728-P1BS-011875973010_01_P001,336.606546,P1096BF100,31OCT09WV011100009OCT31163728-P1BS-011875973010_01_P001,DigitalGlobe Acquired Image,WV01,2009-10-31T16:37:28Z,3,
09NOV03093751-P1BS-011778469010_01_P001,111.8583004,P10A8DAF00,03NOV09QB020700009NOV03093751-P1BS-011778469010_01_P001,DigitalGlobe Acquired Image,QB02,2009-11-03T09:37:51Z,0,
09NOV03093751-M1BS-011778469010_01_P001,111.9052972,M10A8DAF00,03NOV09QB020700009NOV03093751-M1BS-011778469010_01_P001,DigitalGlobe Acquired Image,QB02,2009-11-03T09:37:51Z,0,LT_R001_0044
09NOV26162709-P1BS-011875946010_01_P001,303.3514249,P109893900,26NOV09WV011100009NOV26162709-P1BS-011875946010_01_P001,DigitalGlobe Acquired Image,WV01,2009-11-26T16:27:09Z,1,US_R001_0003
09DEC29161757-P1BS-011875956010_01_P001,289.3308951,P10ADC2D00,29DEC09QB021200009DEC29161757-P1BS-011875956010_01_P001,DigitalGlobe Acquired Image,QB02,2009-12-29T16:17:57Z,1,
09DEC29161757-M1BS-011875956010_01_P001,288.7990922,M10ADC2D00,29DEC09QB021200009DEC29161757-M1BS-011875956010_01_P001,DigitalGlobe Acquired Image,QB02,2009-12-29T16:17:57Z,2,
10JAN05162650-P1BS-011876009010_01_P001,270.511461,P1033B3900,05JAN10WV021200010JAN05162650-P1BS-011876009010_01_P001,DigitalGlobe Acquired Image,WV02,2010-01-05T16:26:50Z,3,
10JAN05162650-M1BS-011876009010_01_P001,271.382544,M1033B3900,05JAN10WV021200010JAN05162650-M1BS-011876009010_01_P001,DigitalGlobe Acquired Image,WV02,2010-01-05T16:26:50Z,3,
10JAN25095341-P1BS-011778425010_01_P001,103.6757135,P10B371400,25JAN10WV010700010JAN25095341-P1BS-011778425010_01_P001,DigitalGlobe Acquired Image,WV01,2010-01-25T09:53:41Z,0,"LT_R001_0044, LT_R001_0104"
10JAN27162457-P1BS-011875947010_01_P001,258.2019331,P103D3FE00,27JAN10WV021100010JAN27162457-P1BS-011875947010_01_P001,DigitalGlobe Acquired Image,WV02,2010-01-27T16:24:57Z,2,
10JAN27162457-M1BS-011875947010_01_P001,259.0627714,M103D3FE00,27JAN10WV021100010JAN27162457-M1BS-011875947010_01_P001,DigitalGlobe Acquired Image,WV02,2010-01-27T16:24:57Z,2,
10FEB07162401-P1BS-011875990010_01_P001,254.982204,P103AD0C00,07FEB10WV021200010FEB07162401-P1BS-011875990010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-07T16:24:01Z,7,
10FEB07162401-M1BS-011875990010_01_P001,255.6416415,M103AD0C00,07FEB10WV021200010FEB07162401-M1BS-011875990010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-07T16:24:01Z,7,
10FEB10161447-P1BS-011875981010_01_P001,260.3837554,P104919A00,10FEB10WV021200010FEB10161447-P1BS-011875981010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-10T16:14:47Z,0,
10FEB10161447-M1BS-011875981010_01_P001,261.2529946,M104919A00,10FEB10WV021200010FEB10161447-M1BS-011875981010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-10T16:14:47Z,0,
10FEB15163219-P1BS-011876012010_01_P001,293.9544476,P10476AE00,15FEB10WV021200010FEB15163219-P1BS-011876012010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-15T16:32:19Z,4,
10FEB15163219-M1BS-011876012010_01_P001,294.8372221,M10476AE00,15FEB10WV021200010FEB15163219-M1BS-011876012010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-15T16:32:19Z,4,US_R001_0003
10FEB18162305-P1BS-011875989010_01_P001,252.0694593,P1046D1400,18FEB10WV021200010FEB18162305-P1BS-011875989010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-18T16:23:05Z,2,
10FEB18162305-M1BS-011875989010_01_P001,252.931597,M1046D1400,18FEB10WV021200010FEB18162305-M1BS-011875989010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-18T16:23:05Z,2,
10FEB21161234-P1BS-011875950010_01_P001,339.6880661,P104B5CA00,21FEB10WV021200010FEB21161234-P1BS-011875950010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-21T16:12:34Z,2,
10FEB21161234-M1BS-011875950010_01_P001,340.8714269,M104B5CA00,21FEB10WV021200010FEB21161234-M1BS-011875950010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-21T16:12:34Z,2,
10FEB21161234-P1BS-011875950010_01_P002,140.2408411,P104B5CA00,21FEB10WV021200010FEB21161234-P1BS-011875950010_01_P002,DigitalGlobe Acquired Image,WV02,2010-02-21T16:12:34Z,2,
10FEB21161234-M1BS-011875950010_01_P002,140.6407763,M104B5CA00,21FEB10WV021200010FEB21161234-M1BS-011875950010_01_P002,DigitalGlobe Acquired Image,WV02,2010-02-21T16:12:34Z,2,
10FEB26163123-P1BS-011875987010_01_P001,269.2238422,P104841B00,26FEB10WV021200010FEB26163123-P1BS-011875987010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-26T16:31:23Z,5,
10FEB26163123-M1BS-011875987010_01_P001,270.0554939,M104841B00,26FEB10WV021200010FEB26163123-M1BS-011875987010_01_P001,DigitalGlobe Acquired Image,WV02,2010-02-26T16:31:23Z,5,
10MAR01160554-P1BS-011875954010_01_P001,287.1681098,P10B32EC00,01MAR10QB021100010MAR01160554-P1BS-011875954010_01_P001,DigitalGlobe Acquired Image,QB02,2010-03-01T16:05:54Z,1,
10MAR01160554-M1BS-011875954010_01_P001,286.3547377,M10B32EC00,01MAR10QB021100010MAR01160554-M1BS-011875954010_01_P001,DigitalGlobe Acquired Image,QB02,2010-03-01T16:05:54Z,1,
10MAR01162048-P1BS-011875953010_01_P001,294.1803336,P104543F00,01MAR10WV021100010MAR01162048-P1BS-011875953010_01_P001,DigitalGlobe Acquired Image,WV02,2010-03-01T16:20:48Z,2,
10MAR01162048-M1BS-011875953010_01_P001,294.8521958,M104543F00,01MAR10WV021100010MAR01162048-M1BS-011875953010_01_P001,DigitalGlobe Acquired Image,WV02,2010-03-01T16:20:48Z,2,
10MAR01162049-P1BS-011875953010_01_P002,99.92229706,P104543F00,01MAR10WV021100010MAR01162049-P1BS-011875953010_01_P002,DigitalGlobe Acquired Image,WV02,2010-03-01T16:20:49Z,1,
10MAR01162049-M1BS-011875953010_01_P002,100.2353422,M104543F00,01MAR10WV021100010MAR01162049-M1BS-011875953010_01_P002,DigitalGlobe Acquired Image,WV02,2010-03-01T16:20:49Z,1,
10MAR23162032-P1BS-011875984010_01_P001,233.6768115,P1043AB000,23MAR10WV021200010MAR23162032-P1BS-011875984010_01_P001,DigitalGlobe Acquired Image,WV02,2010-03-23T16:20:32Z,0,
10MAR23162032-M1BS-011875984010_01_P001,234.291675,M1043AB000,23MAR10WV021200010MAR23162032-M1BS-011875984010_01_P001,DigitalGlobe Acquired Image,WV02,2010-03-23T16:20:32Z,0,
10APR06161135-P1BS-011875964010_01_P001,282.460736,P1051C8B00,06APR10WV021100010APR06161135-P1BS-011875964010_01_P001,DigitalGlobe Acquired Image,WV02,2010-04-06T16:11:35Z,0,
10APR06161135-M1BS-011875964010_01_P001,283.493592,M1051C8B00,06APR10WV021100010APR06161135-M1BS-011875964010_01_P001,DigitalGlobe Acquired Image,WV02,2010-04-06T16:11:35Z,0,
10APR06161136-P1BS-011875964010_01_P002,229.3843127,P1051C8B00,06APR10WV021100010APR06161136-P1BS-011875964010_01_P002,DigitalGlobe Acquired Image,WV02,2010-04-06T16:11:36Z,0,
10APR06161136-M1BS-011875964010_01_P002,230.0438411,M1051C8B00,06APR10WV021100010APR06161136-M1BS-011875964010_01_P002,DigitalGlobe Acquired Image,WV02,2010-04-06T16:11:36Z,0,US_R003_0076
10APR22162636-P1BS-011876008010_01_P001,251.7752878,P104083500,22APR10WV021100010APR22162636-P1BS-011876008010_01_P001,DigitalGlobe Acquired Image,WV02,2010-04-22T16:26:36Z,2,
10APR22162636-M1BS-011876008010_01_P001,252.7554103,M104083500,22APR10WV021100010APR22162636-M1BS-011876008010_01_P001,DigitalGlobe Acquired Image,WV02,2010-04-22T16:26:36Z,2,
10APR22162637-P1BS-011876008010_01_P002,195.4426153,P104083500,22APR10WV021100010APR22162637-P1BS-011876008010_01_P002,DigitalGlobe Acquired Image,WV02,2010-04-22T16:26:37Z,2,
10APR22162637-M1BS-011876008010_01_P002,196.0630231,M104083500,22APR10WV021100010APR22162637-M1BS-011876008010_01_P002,DigitalGlobe Acquired Image,WV02,2010-04-22T16:26:37Z,2,US_R003_0076
10APR28160841-P1BS-011876015010_01_P001,285.8647671,P1058B6F00,28APR10WV021200010APR28160841-P1BS-011876015010_01_P001,DigitalGlobe Acquired Image,WV02,2010-04-28T16:08:41Z,0,
10APR28160841-M1BS-011876015010_01_P001,286.6688382,M1058B6F00,28APR10WV021200010APR28160841-M1BS-011876015010_01_P001,DigitalGlobe Acquired Image,WV02,2010-04-28T16:08:41Z,0,
10APR28160842-P1BS-011876015010_01_P002,167.9886689,P1058B6F00,28APR10WV021200010APR28160842-P1BS-011876015010_01_P002,DigitalGlobe Acquired Image,WV02,2010-04-28T16:08:42Z,0,
10APR28160842-M1BS-011876015010_01_P002,168.4757869,M1058B6F00,28APR10WV021200010APR28160842-M1BS-011876015010_01_P002,DigitalGlobe Acquired Image,WV02,2010-04-28T16:08:42Z,0,
10MAY03162547-P1BS-011875986010_01_P001,251.7905175,P10516B700,03MAY10WV021200010MAY03162547-P1BS-011875986010_01_P001,DigitalGlobe Acquired Image,WV02,2010-05-03T16:25:47Z,12,
10MAY03162547-M1BS-011875986010_01_P001,252.2975655,M10516B700,03MAY10WV021200010MAY03162547-M1BS-011875986010_01_P001,DigitalGlobe Acquired Image,WV02,2010-05-03T16:25:47Z,12,
10MAY03162548-P1BS-011875986010_01_P002,196.7230807,P10516B700,03MAY10WV021200010MAY03162548-P1BS-011875986010_01_P002,DigitalGlobe Acquired Image,WV02,2010-05-03T16:25:48Z,8,
10MAY03162548-M1BS-011875986010_01_P002,197.4905572,M10516B700,03MAY10WV021200010MAY03162548-M1BS-011875986010_01_P002,DigitalGlobe Acquired Image,WV02,2010-05-03T16:25:48Z,8,US_R003_0076
10JUN08161431-P1BS-011875995010_01_P001,288.1462615,P105CDBC00,08JUN10WV021200010JUN08161431-P1BS-011875995010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:31Z,2,
10JUN08161431-M1BS-011875995010_01_P001,288.9915751,M105CDBC00,08JUN10WV021200010JUN08161431-M1BS-011875995010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:31Z,2,
10JUN08161432-P1BS-011875995010_01_P002,227.7077729,P105CDBC00,08JUN10WV021200010JUN08161432-P1BS-011875995010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:32Z,1,
10JUN08161432-M1BS-011875995010_01_P002,228.0818087,M105CDBC00,08JUN10WV021200010JUN08161432-M1BS-011875995010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:32Z,1,
10JUN08161453-P1BS-011876022010_01_P001,275.0839928,P105C8D200,08JUN10WV021200010JUN08161453-P1BS-011876022010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:53Z,2,
10JUN08161454-P1BS-011876022010_01_P002,299.1475795,P105C8D200,08JUN10WV021200010JUN08161454-P1BS-011876022010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:54Z,0,
10JUN08161454-M1BS-011876022010_01_P002,299.7933164,M105C8D200,08JUN10WV021200010JUN08161454-M1BS-011876022010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:54Z,0,US_R003_0069
10JUN08161456-P1BS-011876022010_01_P004,292.0960988,P105C8D200,08JUN10WV021200010JUN08161456-P1BS-011876022010_01_P004,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:56Z,1,
10JUN08161456-M1BS-011876022010_01_P004,292.7977813,M105C8D200,08JUN10WV021200010JUN08161456-M1BS-011876022010_01_P004,DigitalGlobe Acquired Image,WV02,2010-06-08T16:14:56Z,1,
10JUN13163307-P1BS-011876016010_01_P001,267.5298172,P1052F9F00,13JUN10WV021200010JUN13163307-P1BS-011876016010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-13T16:33:07Z,0,
10JUN13163307-M1BS-011876016010_01_P001,268.0929317,M1052F9F00,13JUN10WV021200010JUN13163307-M1BS-011876016010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-13T16:33:07Z,0,
10JUN13163308-P1BS-011876016010_01_P002,169.4854645,P1052F9F00,13JUN10WV021200010JUN13163308-P1BS-011876016010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-13T16:33:08Z,0,
10JUN13163308-M1BS-011876016010_01_P002,170.0390152,M1052F9F00,13JUN10WV021200010JUN13163308-M1BS-011876016010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-13T16:33:08Z,0,
10JUN18163404-P1BS-011876005010_01_P001,328.4272078,P10D082100,18JUN10WV011200010JUN18163404-P1BS-011876005010_01_P001,DigitalGlobe Acquired Image,WV01,2010-06-18T16:34:04Z,5,
10JUN18163405-P1BS-011876005010_01_P002,104.5698501,P10D082100,18JUN10WV011200010JUN18163405-P1BS-011876005010_01_P002,DigitalGlobe Acquired Image,WV01,2010-06-18T16:34:05Z,3,
10JUN19161428-P1BS-011875982010_01_P001,269.0368251,P105451000,19JUN10WV021200010JUN19161428-P1BS-011875982010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-19T16:14:28Z,7,
10JUN19161428-M1BS-011875982010_01_P001,269.8761999,M105451000,19JUN10WV021200010JUN19161428-M1BS-011875982010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-19T16:14:28Z,7,
10JUN19161429-P1BS-011875982010_01_P002,171.4875958,P105451000,19JUN10WV021200010JUN19161429-P1BS-011875982010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-19T16:14:29Z,8,
10JUN19161429-M1BS-011875982010_01_P002,172.1638105,M105451000,19JUN10WV021200010JUN19161429-M1BS-011875982010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-19T16:14:29Z,8,
10JUN20161909-P1BS-011875978010_01_P003,295.3064126,P102FA3900,20JUN10GE011100010JUN20161909-P1BS-011875978010_01_P003,DigitalGlobe Acquired Image,GE01,2010-06-20T16:19:09Z,0,
10JUN20161909-M1BS-011875978010_01_P003,295.3524727,M102FA3900,20JUN10GE011100010JUN20161909-M1BS-011875978010_01_P003,DigitalGlobe Acquired Image,GE01,2010-06-20T16:19:09Z,0,
10JUN20161912-P1BS-011875978010_01_P004,290.7743939,P102FA3900,20JUN10GE011100010JUN20161912-P1BS-011875978010_01_P004,DigitalGlobe Acquired Image,GE01,2010-06-20T16:19:12Z,0,
10JUN20161912-M1BS-011875978010_01_P004,290.8200956,M102FA3900,20JUN10GE011100010JUN20161912-M1BS-011875978010_01_P004,DigitalGlobe Acquired Image,GE01,2010-06-20T16:19:12Z,0,
10JUN24163222-P1BS-011875991010_01_P001,262.9695558,P1069F9B00,24JUN10WV021200010JUN24163222-P1BS-011875991010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-24T16:32:22Z,1,
10JUN24163222-M1BS-011875991010_01_P001,263.8114074,M1069F9B00,24JUN10WV021200010JUN24163222-M1BS-011875991010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-24T16:32:22Z,1,US_R001_0003
10JUN24163224-P1BS-011875991010_01_P002,164.9643452,P1069F9B00,24JUN10WV021200010JUN24163224-P1BS-011875991010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-24T16:32:24Z,0,
10JUN24163224-M1BS-011875991010_01_P002,165.3687232,M1069F9B00,24JUN10WV021200010JUN24163224-M1BS-011875991010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-24T16:32:24Z,0,
10JUN27162254-P1BS-011875971010_01_P001,243.4050186,P105A5CC00,27JUN10WV021200010JUN27162254-P1BS-011875971010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-27T16:22:54Z,10,
10JUN27162254-M1BS-011875971010_01_P001,244.0409051,M105A5CC00,27JUN10WV021200010JUN27162254-M1BS-011875971010_01_P001,DigitalGlobe Acquired Image,WV02,2010-06-27T16:22:54Z,10,
10JUN27162255-P1BS-011875971010_01_P002,138.0213688,P105A5CC00,27JUN10WV021200010JUN27162255-P1BS-011875971010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-27T16:22:55Z,2,
10JUN27162255-M1BS-011875971010_01_P002,138.3930517,M105A5CC00,27JUN10WV021200010JUN27162255-M1BS-011875971010_01_P002,DigitalGlobe Acquired Image,WV02,2010-06-27T16:22:55Z,2,
10JUL05163135-P1BS-011875998010_01_P001,258.3008511,P106483800,05JUL10WV021100010JUL05163135-P1BS-011875998010_01_P001,DigitalGlobe Acquired Image,WV02,2010-07-05T16:31:35Z,29,
10JUL05163135-M1BS-011875998010_01_P001,258.94729,M106483800,05JUL10WV021100010JUL05163135-M1BS-011875998010_01_P001,DigitalGlobe Acquired Image,WV02,2010-07-05T16:31:35Z,29,
10JUL05163136-P1BS-011875998010_01_P002,158.1225564,P106483800,05JUL10WV021100010JUL05163136-P1BS-011875998010_01_P002,DigitalGlobe Acquired Image,WV02,2010-07-05T16:31:36Z,33,
10JUL05163136-M1BS-011875998010_01_P002,158.647027,M106483800,05JUL10WV021100010JUL05163136-M1BS-011875998010_01_P002,DigitalGlobe Acquired Image,WV02,2010-07-05T16:31:36Z,33,
10JUL09161122-P1BS-011875992010_01_P003,286.6429638,P101B02000,09JUL10GE011100010JUL09161122-P1BS-011875992010_01_P003,DigitalGlobe Acquired Image,GE01,2010-07-09T16:11:22Z,0,
10JUL09161122-M1BS-011875992010_01_P003,286.6856077,M101B02000,09JUL10GE011100010JUL09161122-M1BS-011875992010_01_P003,DigitalGlobe Acquired Image,GE01,2010-07-09T16:11:22Z,0,
10JUL09161126-P1BS-011875992010_01_P004,285.0961521,P101B02000,09JUL10GE011100010JUL09161126-P1BS-011875992010_01_P004,DigitalGlobe Acquired Image,GE01,2010-07-09T16:11:26Z,0,
10JUL09161126-M1BS-011875992010_01_P004,285.1407153,M101B02000,09JUL10GE011100010JUL09161126-M1BS-011875992010_01_P004,DigitalGlobe Acquired Image,GE01,2010-07-09T16:11:26Z,0,
10JUL09161157-P1BS-011875988010_01_P002,302.2287411,P101B99D00,09JUL10GE011100010JUL09161157-P1BS-011875988010_01_P002,DigitalGlobe Acquired Image,GE01,2010-07-09T16:11:57Z,0,
10JUL09161157-M1BS-011875988010_01_P002,302.2753338,M101B99D00,09JUL10GE011100010JUL09161157-M1BS-011875988010_01_P002,DigitalGlobe Acquired Image,GE01,2010-07-09T16:11:57Z,0,US_R003_0069
10JUL09161201-P1BS-011875988010_01_P003,309.0896986,P101B99D00,09JUL10GE011100010JUL09161201-P1BS-011875988010_01_P003,DigitalGlobe Acquired Image,GE01,2010-07-09T16:12:01Z,0,US_R003_0076
10JUL09161201-M1BS-011875988010_01_P003,309.1361868,M101B99D00,09JUL10GE011100010JUL09161201-M1BS-011875988010_01_P003,DigitalGlobe Acquired Image,GE01,2010-07-09T16:12:01Z,0,
10JUL09161204-P1BS-011875988010_01_P004,317.3176379,P101B99D00,09JUL10GE011100010JUL09161204-P1BS-011875988010_01_P004,DigitalGlobe Acquired Image,GE01,2010-07-09T16:12:04Z,0,
10JUL09161204-M1BS-011875988010_01_P004,317.3645345,M101B99D00,09JUL10GE011100010JUL09161204-M1BS-011875988010_01_P004,DigitalGlobe Acquired Image,GE01,2010-07-09T16:12:04Z,0,
10JUL13163940-P1BS-011875994010_01_P001,296.5484145,P106062400,13JUL10WV021100010JUL13163940-P1BS-011875994010_01_P001,DigitalGlobe Acquired Image,WV02,2010-07-13T16:39:40Z,16,
10JUL13163940-M1BS-011875994010_01_P001,297.395095,M106062400,13JUL10WV021100010JUL13163940-M1BS-011875994010_01_P001,DigitalGlobe Acquired Image,WV02,2010-07-13T16:39:40Z,16,
10JUL13163941-P1BS-011875994010_01_P002,175.2067013,P106062400,13JUL10WV021100010JUL13163941-P1BS-011875994010_01_P002,DigitalGlobe Acquired Image,WV02,2010-07-13T16:39:41Z,12,
10JUL13163941-M1BS-011875994010_01_P002,175.5061367,M106062400,13JUL10WV021100010JUL13163941-M1BS-011875994010_01_P002,DigitalGlobe Acquired Image,WV02,2010-07-13T16:39:41Z,12,
10JUL16162946-P1BS-011875999010_01_P001,268.1433205,P1052DD000,16JUL10WV021100010JUL16162946-P1BS-011875999010_01_P001,DigitalGlobe Acquired Image,WV02,2010-07-16T16:29:46Z,36,
10JUL16162946-M1BS-011875999010_01_P001,268.9841058,M1052DD000,16JUL10WV021100010JUL16162946-M1BS-011875999010_01_P001,DigitalGlobe Acquired Image,WV02,2010-07-16T16:29:46Z,36,
