id,area_kmsq,s2:product_uri,s2:granule_id,platform,constellation,datetime,eo:cloud_cover,annotated_sites
S2A_40RCN_20160110_0_L1C,10273.38182,,,sentinel-2a,sentinel-2,2016-01-10T07:02:46Z,4,"AE_R001_0145, AE_R001_0148, AE_R001_0189, AE_R001_0205, AE_R001_0251, AE_R001_0320, AE_R001_0335, AE_R001_0350, AE_R001_0354, AE_R001_0376, AE_R001_0404, AE_R001_0405"
S2A_39RZH_20160110_0_L1C,5546.473763,,,sentinel-2a,sentinel-2,2016-01-10T07:02:46Z,13,
S2A_40RBN_20160110_0_L1C,6324.039538,,,sentinel-2a,sentinel-2,2016-01-10T07:02:46Z,15,"AE_R001_0242, AE_R001_0266, AE_R001_0271, AE_R001_0322, AE_R001_0331"
S2A_11SLT_20160110_0_L1C,12058.68898,,,sentinel-2a,sentinel-2,2016-01-10T18:45:19Z,77,
S2A_59GPM_20160110_0_L1C,12057.83131,,,sentinel-2a,sentinel-2,2016-01-10T22:28:45Z,24,
S2A_35ULA_20160111_0_L1C,11834.3522,,,sentinel-2a,sentinel-2,2016-01-11T09:49:22Z,97,
S2A_16SGC_20160111_0_L1C,11864.92806,,,sentinel-2a,sentinel-2,2016-01-11T16:37:13Z,49,
S2A_17SKU_20160111_0_L1C,9494.907462,,,sentinel-2a,sentinel-2,2016-01-11T16:37:13Z,71,
S2A_16SGD_20160111_0_L1C,12045.64749,,,sentinel-2a,sentinel-2,2016-01-11T16:37:13Z,82,
S2A_17SKT_20160111_0_L1C,6378.443767,,,sentinel-2a,sentinel-2,2016-01-11T16:37:13Z,26,"US_R007_0056, US_R007_0058"
S2A_32TMT_20160113_0_L1C,9953.120852,,,sentinel-2a,sentinel-2,2016-01-13T10:30:04Z,78,
S2A_11SKD_20160113_0_L1C,12020.21672,,,sentinel-2a,sentinel-2,2016-01-13T18:55:44Z,58,
S2A_10SGJ_20160113_0_L1C,11186.57604,,,sentinel-2a,sentinel-2,2016-01-13T18:55:44Z,62,
S2A_17RMP_20160115_0_L1C,12064.34508,,,sentinel-2a,sentinel-2,2016-01-15T16:16:47Z,99,
S2A_52SDG_20160116_0_L1C,9660.367034,,,sentinel-2a,sentinel-2,2016-01-16T02:21:45Z,35,
S2A_52SEG_20160116_0_L1C,12064.05682,,,sentinel-2a,sentinel-2,2016-01-16T02:21:45Z,13,KR_R003_0052
S2A_52SEF_20160116_0_L1C,12064.05659,,,sentinel-2a,sentinel-2,2016-01-16T02:21:45Z,8,KR_Rxxx_0033
S2A_39RVK_20160116_0_L1C,12064.34445,,,sentinel-2a,sentinel-2,2016-01-16T07:24:52Z,0,"BH_R001_0016, BH_R001_0021, BH_R001_0026, BH_R001_0031, BH_R001_0036"
S2A_32TMT_20160116_0_L1C,12064.34851,,,sentinel-2a,sentinel-2,2016-01-16T10:40:56Z,84,
S2A_32TLT_20160116_0_L1C,12058.70883,,,sentinel-2a,sentinel-2,2016-01-16T10:40:56Z,78,
S2A_32TLS_20160116_0_L1C,12058.70749,,,sentinel-2a,sentinel-2,2016-01-16T10:40:56Z,61,
S2A_15TTF_20160116_0_L1C,12047.11884,,,sentinel-2a,sentinel-2,2016-01-16T17:25:31Z,51,
S2A_14TQL_20160116_0_L1C,12045.67495,,,sentinel-2a,sentinel-2,2016-01-16T17:25:31Z,51,
S2A_14TQM_20160116_0_L1C,12045.67895,,,sentinel-2a,sentinel-2,2016-01-16T17:25:31Z,98,
S2A_14TPM_20160116_0_L1C,5850.181156,,,sentinel-2a,sentinel-2,2016-01-16T17:25:31Z,48,
S2A_14TPL_20160116_0_L1C,8185.898026,,,sentinel-2a,sentinel-2,2016-01-16T17:25:31Z,42,
S2A_15TTG_20160116_0_L1C,12047.12255,,,sentinel-2a,sentinel-2,2016-01-16T17:25:31Z,98,
S2A_19KBA_20160118_0_L1C,3428.679043,,,sentinel-2a,sentinel-2,2016-01-18T15:06:20Z,2,"PE_R001_0011, PE_R001_0015, PE_R001_0021, PE_R001_0022, PE_R001_0026, PE_R001_0028"
S2A_19KCA_20160118_0_L1C,12058.67001,,,sentinel-2a,sentinel-2,2016-01-18T15:06:20Z,36,
S2A_19KBB_20160118_0_L1C,972.5660368,,,sentinel-2a,sentinel-2,2016-01-18T15:06:20Z,5,
S2A_19KCB_20160118_0_L1C,11642.21439,,,sentinel-2a,sentinel-2,2016-01-18T15:06:20Z,92,
S2A_52SDG_20160119_0_L1C,10656.27646,,,sentinel-2a,sentinel-2,2016-01-19T02:27:14Z,79,
S2A_52SEG_20160119_0_L1C,308.7913145,,,sentinel-2a,sentinel-2,2016-01-19T02:27:14Z,1,
S2A_40RBN_20160120_0_L1C,8638.136344,,,sentinel-2a,sentinel-2,2016-01-20T07:08:32Z,0,"AE_R001_0059, AE_R001_0252, AE_R001_0258, AE_R001_0267, AE_R001_0291, AE_R001_0316, AE_R001_0325, AE_R001_0355, AE_R001_0360"
S2A_39RZH_20160120_0_L1C,7927.56353,,,sentinel-2a,sentinel-2,2016-01-20T07:08:32Z,0,
S2A_40RCN_20160120_0_L1C,12058.67734,,,sentinel-2a,sentinel-2,2016-01-20T07:08:32Z,0,"AE_R001_0147, AE_R001_0153, AE_R001_0209, AE_R001_0223, AE_R001_0225, AE_R001_0238, AE_R001_0239, AE_R001_0243, AE_R001_0246, AE_R001_0257, AE_R001_0259, AE_R001_0327, AE_R001_0333, AE_R001_0343, AE_R001_0345, AE_R001_0352, AE_R001_0373, AE_R001_0374"
S2A_11SLT_20160120_0_L1C,12058.68898,,,sentinel-2a,sentinel-2,2016-01-20T18:45:21Z,38,
S2A_59GPM_20160120_0_L1C,12057.83131,,,sentinel-2a,sentinel-2,2016-01-20T22:29:22Z,79,
S2A_35HLC_20160121_0_L1C,11472.92502,,,sentinel-2a,sentinel-2,2016-01-21T08:30:33Z,42,
S2A_34UFG_20160121_0_L1C,12057.85022,,,sentinel-2a,sentinel-2,2016-01-21T09:46:25Z,24,
S2A_34UFF_20160121_0_L1C,12057.84885,,,sentinel-2a,sentinel-2,2016-01-21T09:46:25Z,94,
S2A_35ULB_20160121_0_L1C,12058.72029,,,sentinel-2a,sentinel-2,2016-01-21T09:46:25Z,21,
S2A_35ULA_20160121_0_L1C,11848.75755,,,sentinel-2a,sentinel-2,2016-01-21T09:46:25Z,62,
S2A_23KLP_20160121_0_L1C,23.41420127,,,sentinel-2a,sentinel-2,2016-01-21T13:21:18Z,0,
S2A_22KHU_20160121_0_L1C,11236.44835,,,sentinel-2a,sentinel-2,2016-01-21T13:21:18Z,25.17,
S2A_23KKQ_20160121_0_L1C,11863.67333,,,sentinel-2a,sentinel-2,2016-01-21T13:21:18Z,0.59,BR_R006_0024
S2A_22KHV_20160121_0_L1C,12027.47412,,,sentinel-2a,sentinel-2,2016-01-21T13:21:18Z,0.79,
S2A_23KKP_20160121_0_L1C,10097.08598,,,sentinel-2a,sentinel-2,2016-01-21T13:21:18Z,26.3,
S2A_23KLQ_20160121_0_L1C,1355.933354,,,sentinel-2a,sentinel-2,2016-01-21T13:21:18Z,1.08,
S2A_23KPQ_20160125_0_L1C,12057.79934,,,sentinel-2a,sentinel-2,2016-01-25T13:07:11Z,85.74,
S2A_23KPR_20160125_0_L1C,12057.79824,,,sentinel-2a,sentinel-2,2016-01-25T13:07:11Z,99.79,
S2A_23KNQ_20160125_0_L1C,9418.89004,,,sentinel-2a,sentinel-2,2016-01-25T13:07:11Z,79.86,
S2A_23KNR_20160125_0_L1C,6744.103813,,,sentinel-2a,sentinel-2,2016-01-25T13:07:11Z,92.17,
S2A_52SDG_20160126_1_L1C,5686.162514,,,sentinel-2a,sentinel-2,2016-01-26T02:17:10Z,29,
S2A_52SEG_20160126_1_L1C,7676.422123,,,sentinel-2a,sentinel-2,2016-01-26T02:17:10Z,2,"KR_R003_0001, KR_R003_0004, KR_R003_0010, KR_R003_0012, KR_R003_0013, KR_R003_0021, KR_R003_0022, KR_R003_0032, KR_R003_0035, KR_R003_0062"
S2A_52SDG_20160126_0_L1C,4028.662127,,,sentinel-2a,sentinel-2,2016-01-26T02:17:14Z,21,
S2A_52SEG_20160126_0_L1C,3698.848188,,,sentinel-2a,sentinel-2,2016-01-26T02:17:14Z,3,"KR_Rxxx_0029, KR_Rxxx_0032"
S2A_52SEF_20160126_0_L1C,2319.070602,,,sentinel-2a,sentinel-2,2016-01-26T02:17:14Z,1,KR_Rxxx_0033
S2A_39RVK_20160126_0_L1C,12064.34445,,,sentinel-2a,sentinel-2,2016-01-26T07:16:54Z,11.53,
S2A_32TMT_20160126_0_L1C,12064.34851,,,sentinel-2a,sentinel-2,2016-01-26T10:46:30Z,63,
S2A_32TLT_20160126_0_L1C,12058.70883,,,sentinel-2a,sentinel-2,2016-01-26T10:46:30Z,27,CH_R002_0045
S2A_32TLS_20160126_0_L1C,12058.70749,,,sentinel-2a,sentinel-2,2016-01-26T10:46:30Z,92,
S2A_10SGJ_20160126_0_L1C,10237.65955,,,sentinel-2a,sentinel-2,2016-01-26T19:05:08Z,39,"US_R005_0018, US_R005_0039"
S2A_11SKD_20160126_0_L1C,8326.27663,,,sentinel-2a,sentinel-2,2016-01-26T19:05:08Z,37,
S2A_16SGC_20160128_0_L1C,7118.580498,,,sentinel-2a,sentinel-2,2016-01-28T16:15:26Z,83.4,
S2A_17SKU_20160128_0_L1C,10410.21361,,,sentinel-2a,sentinel-2,2016-01-28T16:15:26Z,98.49,
S2A_17SKT_20160128_0_L1C,12025.8615,,,sentinel-2a,sentinel-2,2016-01-28T16:15:26Z,89.92,
S2A_16SGD_20160128_0_L1C,4958.433522,,,sentinel-2a,sentinel-2,2016-01-28T16:15:26Z,99.88,
S2A_15TTF_20160129_0_L1C,2459.42712,,,sentinel-2a,sentinel-2,2016-01-29T17:25:50Z,0,
S2A_14TQL_20160129_0_L1C,3009.567168,,,sentinel-2a,sentinel-2,2016-01-29T17:25:50Z,0,
S2A_14TQM_20160129_0_L1C,5674.926854,,,sentinel-2a,sentinel-2,2016-01-29T17:25:50Z,0.13,
S2A_14TPM_20160129_0_L1C,12057.82812,,,sentinel-2a,sentinel-2,2016-01-29T17:25:50Z,0,
S2A_15TTG_20160129_0_L1C,5945.375766,,,sentinel-2a,sentinel-2,2016-01-29T17:25:50Z,0.12,
S2A_14TPL_20160129_0_L1C,12057.8266,,,sentinel-2a,sentinel-2,2016-01-29T17:25:50Z,0,
S2A_39RZH_20160130_0_L1C,5024.486907,,,sentinel-2a,sentinel-2,2016-01-30T07:02:25Z,52.6,
S2A_40RBN_20160130_0_L1C,5748.382645,,,sentinel-2a,sentinel-2,2016-01-30T07:02:25Z,55.54,
S2A_40RCN_20160130_0_L1C,10130.78531,,,sentinel-2a,sentinel-2,2016-01-30T07:02:25Z,75.54,
S2A_11SLT_20160130_0_L1C,12058.68898,,,sentinel-2a,sentinel-2,2016-01-30T18:44:10Z,51.05,
S2A_59GPM_20160130_0_L1C,12057.83131,,,sentinel-2a,sentinel-2,2016-01-30T22:25:28Z,52.65,
S2A_35HLC_20160131_0_L1C,11430.02066,,,sentinel-2a,sentinel-2,2016-01-31T08:23:08Z,32.34,
S2A_35ULA_20160131_0_L1C,11856.37888,,,sentinel-2a,sentinel-2,2016-01-31T09:42:28Z,88.76,
S2A_35ULB_20160131_0_L1C,12058.72029,,,sentinel-2a,sentinel-2,2016-01-31T09:42:28Z,78.49,
S2A_34UFG_20160131_0_L1C,12057.85022,,,sentinel-2a,sentinel-2,2016-01-31T09:42:28Z,76.2,
S2A_34UFF_20160131_0_L1C,12057.84885,,,sentinel-2a,sentinel-2,2016-01-31T09:42:28Z,68.76,
S2A_52SDG_20160205_0_L1C,7862.360538,,,sentinel-2a,sentinel-2,2016-02-05T02:16:56Z,95.17,
S2A_52SEG_20160205_0_L1C,9629.67522,,,sentinel-2a,sentinel-2,2016-02-05T02:16:56Z,80.32,
S2A_32TMT_20160205_0_L1C,12064.34851,,,sentinel-2a,sentinel-2,2016-02-05T10:35:56Z,67,
S2A_32TLS_20160205_0_L1C,12058.70749,,,sentinel-2a,sentinel-2,2016-02-05T10:35:56Z,21.17,
S2A_32TLT_20160205_0_L1C,12058.70883,,,sentinel-2a,sentinel-2,2016-02-05T10:35:56Z,49.09,"CH_R002_0044, CH_R002_0045"
S2A_35HLC_20160207_0_L1C,8535.845874,,,sentinel-2a,sentinel-2,2016-02-07T08:16:08Z,37.26,
S2A_19KBB_20160207_0_L1C,993.6350112,,,sentinel-2a,sentinel-2,2016-02-07T14:53:14Z,48.98,
S2A_19KBA_20160207_0_L1C,3451.095181,,,sentinel-2a,sentinel-2,2016-02-07T14:53:14Z,93.13,
S2A_19KCA_20160207_0_L1C,12058.67001,,,sentinel-2a,sentinel-2,2016-02-07T14:53:14Z,76.06,
S2A_19KCB_20160207_0_L1C,11656.52793,,,sentinel-2a,sentinel-2,2016-02-07T14:53:14Z,72.74,
S2A_52SDG_20160208_0_L1C,11178.63665,,,sentinel-2a,sentinel-2,2016-02-08T02:23:58Z,74.57,
S2A_40RCN_20160209_0_L1C,12058.67734,,,sentinel-2a,sentinel-2,2016-02-09T06:52:08Z,1.37,"AE_R001_0147, AE_R001_0148, AE_R001_0189, AE_R001_0205, AE_R001_0225, AE_R001_0239, AE_R001_0251, AE_R001_0266, AE_R001_0291, AE_R001_0316, AE_R001_0322, AE_R001_0324, AE_R001_0325, AE_R001_0327, AE_R001_0331, AE_R001_0335, AE_R001_0360, AE_R001_0405"
S2A_40RBN_20160209_0_L1C,8640.809363,,,sentinel-2a,sentinel-2,2016-02-09T06:52:08Z,5.74,"AE_R001_0243, AE_R001_0320"
S2A_39RZH_20160209_0_L1C,7930.304179,,,sentinel-2a,sentinel-2,2016-02-09T06:52:08Z,6.23,
S2A_11SLT_20160209_0_L1C,12058.68898,,,sentinel-2a,sentinel-2,2016-02-09T18:44:43Z,0.08,
S2A_59GPM_20160209_0_L1C,12057.83131,,,sentinel-2a,sentinel-2,2016-02-09T22:25:28Z,1.68,"NZ_R001_0013, NZ_R001_0014, NZ_R001_0016, NZ_R001_0029, NZ_R001_0030, NZ_R001_0032, NZ_R001_0033, NZ_R001_0035, NZ_R001_0038, NZ_R001_0039, NZ_R001_0041, NZ_R001_0044, NZ_R001_0052, NZ_R001_0060, NZ_R002_0000, NZ_R002_0002, NZ_R002_0004, NZ_R002_0005, NZ_R002_0010, NZ_R002_0019, NZ_R002_0021, NZ_R002_0022, NZ_R002_0025, NZ_R002_0027, NZ_R002_0028, NZ_R002_0029, NZ_R002_0042, NZ_R002_0073, NZ_R002_0075"
S2A_35HLC_20160210_0_L1C,11436.31958,,,sentinel-2a,sentinel-2,2016-02-10T08:26:34Z,0.93,"ZA_R001_0000, ZA_R001_0016, ZA_R001_0026, ZA_R001_0050"
S2A_17SKT_20160210_0_L1C,6444.169935,,,sentinel-2a,sentinel-2,2016-02-10T16:26:40Z,27.8,
S2A_17SKU_20160210_0_L1C,9559.028293,,,sentinel-2a,sentinel-2,2016-02-10T16:26:40Z,60.2,
S2A_16SGC_20160210_0_L1C,11886.67791,,,sentinel-2a,sentinel-2,2016-02-10T16:26:40Z,23.87,
S2A_16SGD_20160210_0_L1C,12045.64749,,,sentinel-2a,sentinel-2,2016-02-10T16:26:40Z,71.22,
S2A_32TMT_20160212_0_L1C,9900.000001,,,sentinel-2a,sentinel-2,2016-02-12T10:21:35Z,78.71,
S2A_11SKD_20160212_0_L1C,12012.27277,,,sentinel-2a,sentinel-2,2016-02-12T18:52:10Z,76.32,
S2A_10SGJ_20160212_0_L1C,11138.68148,,,sentinel-2a,sentinel-2,2016-02-12T18:52:10Z,68.8,
S2A_17RMP_20160214_0_L1C,12064.34508,,,sentinel-2a,sentinel-2,2016-02-14T16:11:22Z,7.11,"US_R001_0038, US_R003_0001, US_R003_0004, US_R003_0014, US_R003_0018, US_R003_0024, US_R003_0056, US_R003_0057, US_R003_0059, US_R003_0069, US_R003_0076, US_R003_0093, US_R003_0100"
S2A_52SDG_20160215_0_L1C,9609.479649,,,sentinel-2a,sentinel-2,2016-02-15T02:12:28Z,35.05,
S2A_52SEG_20160215_0_L1C,12064.05682,,,sentinel-2a,sentinel-2,2016-02-15T02:12:28Z,22.57,"KR_R003_0012, KR_R003_0052, KR_R003_0062"
S2A_39RVK_20160215_0_L1C,12064.34445,,,sentinel-2a,sentinel-2,2016-02-15T07:18:40Z,0.33,"BH_R001_0016, BH_R001_0021, BH_R001_0026, BH_R001_0031, BH_R001_0036"
S2A_32TMT_20160215_0_L1C,12064.34851,,,sentinel-2a,sentinel-2,2016-02-15T10:32:11Z,96.79,
S2A_32TLS_20160215_0_L1C,12058.70749,,,sentinel-2a,sentinel-2,2016-02-15T10:32:11Z,95.43,
S2A_32TLT_20160215_0_L1C,12058.70883,,,sentinel-2a,sentinel-2,2016-02-15T10:32:11Z,98.28,
S2A_14TQL_20160215_1_L1C,12045.67495,,,sentinel-2a,sentinel-2,2016-02-15T17:22:07Z,0.45,
S2A_15TTF_20160215_1_L1C,12047.11884,,,sentinel-2a,sentinel-2,2016-02-15T17:22:07Z,0.46,
S2A_14TQM_20160215_1_L1C,3220.213497,,,sentinel-2a,sentinel-2,2016-02-15T17:22:07Z,0.03,
S2A_14TPL_20160215_0_L1C,8137.942065,,,sentinel-2a,sentinel-2,2016-02-15T17:22:07Z,0.2,
S2A_14TPM_20160215_1_L1C,2559.100722,,,sentinel-2a,sentinel-2,2016-02-15T17:22:07Z,0.11,
S2A_15TTG_20160215_1_L1C,3198.275464,,,sentinel-2a,sentinel-2,2016-02-15T17:22:07Z,0.01,
S2A_35HLC_20160217_0_L1C,8488.979064,,,sentinel-2a,sentinel-2,2016-02-17T08:18:06Z,79.17,
S2A_35ULB_20160217_0_L1C,11442.12191,,,sentinel-2a,sentinel-2,2016-02-17T09:30:42Z,29.22,
S2A_34UFG_20160217_0_L1C,3033.972191,,,sentinel-2a,sentinel-2,2016-02-17T09:30:42Z,4.18,LT_R001_0129
S2A_34UFF_20160217_0_L1C,5583.125143,,,sentinel-2a,sentinel-2,2016-02-17T09:30:42Z,0.54,"LT_R001_0020, LT_R001_0030, LT_R001_0035, LT_R001_0042, LT_R001_0047, LT_R001_0052, LT_R001_0094, LT_R001_0128"
S2A_35ULA_20160217_0_L1C,12058.71908,,,sentinel-2a,sentinel-2,2016-02-17T09:30:42Z,1.04,"LT_R001_0044, LT_R001_0104"
S2A_19KBA_20160217_0_L1C,3405.314484,,,sentinel-2a,sentinel-2,2016-02-17T14:54:18Z,63.43,
S2A_19KCB_20160217_0_L1C,11630.27573,,,sentinel-2a,sentinel-2,2016-02-17T14:54:18Z,79.52,
S2A_19KBB_20160217_0_L1C,951.6928473,,,sentinel-2a,sentinel-2,2016-02-17T14:54:18Z,10.51,
S2A_19KCA_20160217_0_L1C,12058.67001,,,sentinel-2a,sentinel-2,2016-02-17T14:54:18Z,21.89,
S2A_52SDG_20160218_0_L1C,10554.35559,,,sentinel-2a,sentinel-2,2016-02-18T02:26:52Z,91.42,
S2A_40RCN_20160219_0_L1C,12058.67734,,,sentinel-2a,sentinel-2,2016-02-19T07:01:05Z,0.07,"AE_R001_0145, AE_R001_0192, AE_R001_0223, AE_R001_0246, AE_R001_0277, AE_R001_0333, AE_R001_0343, AE_R001_0344, AE_R001_0345, AE_R001_0350, AE_R001_0352, AE_R001_0354, AE_R001_0355, AE_R001_0373, AE_R001_0404"
S2A_39RZH_20160219_0_L1C,7891.790286,,,sentinel-2a,sentinel-2,2016-02-19T07:01:05Z,27.94,
S2A_40RBN_20160219_0_L1C,8601.905572,,,sentinel-2a,sentinel-2,2016-02-19T07:01:05Z,25.14,"AE_R001_0153, AE_R001_0238, AE_R001_0258, AE_R001_0260, AE_R001_0271"
S2A_11SLT_20160219_0_L1C,12058.68898,,,sentinel-2a,sentinel-2,2016-02-19T18:44:42Z,0.77,
S2A_59GPM_20160219_0_L1C,12057.83131,,,sentinel-2a,sentinel-2,2016-02-19T22:27:26Z,3.52,"NZ_R001_0013, NZ_R001_0029, NZ_R001_0030, NZ_R001_0032, NZ_R001_0033, NZ_R001_0035, NZ_R001_0038, NZ_R001_0039, NZ_R001_0041, NZ_R001_0052, NZ_R001_0060, NZ_R002_0000, NZ_R002_0002, NZ_R002_0004, NZ_R002_0005, NZ_R002_0010, NZ_R002_0019, NZ_R002_0022, NZ_R002_0024, NZ_R002_0025, NZ_R002_0027, NZ_R002_0028, NZ_R002_0029, NZ_R002_0044"
S2A_39RZH_20160229_0_L1C,7910.073872,,,sentinel-2a,sentinel-2,2016-02-29T06:56:22Z,75.41,
S2A_40RBN_20160229_0_L1C,8619.832567,,,sentinel-2a,sentinel-2,2016-02-29T06:56:22Z,75.56,
S2A_40RCN_20160229_0_L1C,12058.67734,,,sentinel-2a,sentinel-2,2016-02-29T06:56:22Z,69.07,
S2A_19KBB_20160301_0_L1C,12047.03525,,,sentinel-2a,sentinel-2,2016-03-01T15:02:41Z,25.37,
S2A_19KCB_20160301_0_L1C,3763.416721,,,sentinel-2a,sentinel-2,2016-03-01T15:02:41Z,16.87,
S2A_19KCA_20160301_0_L1C,1534.903967,,,sentinel-2a,sentinel-2,2016-03-01T15:02:41Z,0.82,
S2A_19KBA_20160301_0_L1C,11929.11115,,,sentinel-2a,sentinel-2,2016-03-01T15:02:41Z,10.16,
S2A_32TMT_20160303_0_L1C,9913.220389,,,sentinel-2a,sentinel-2,2016-03-03T10:21:08Z,94.35,
S2A_32TMT_20160306_0_L1C,12064.34851,,,sentinel-2a,sentinel-2,2016-03-06T10:30:24Z,61.49,
S2A_32TLT_20160306_0_L1C,12058.70883,,,sentinel-2a,sentinel-2,2016-03-06T10:30:24Z,90.7,
S2A_32TLS_20160306_0_L1C,12058.70749,,,sentinel-2a,sentinel-2,2016-03-06T10:30:24Z,79.59,
S2A_35HLC_20160308_0_L1C,8513.398377,,,sentinel-2a,sentinel-2,2016-03-08T08:11:27Z,91.54,
S2A_23KLP_20160308_0_L1C,12058.6764,,,sentinel-2a,sentinel-2,2016-03-08T13:17:43Z,29.56,
S2A_23KLQ_20160308_0_L1C,12058.6754,,,sentinel-2a,sentinel-2,2016-03-08T13:17:43Z,26.54,"BR_R005_0036, BR_R005_0091, BR_R006_0040, BR_R006_0059, BR_Rxxx_1014"
S2A_22KHU_20160308_0_L1C,5959.746129,,,sentinel-2a,sentinel-2,2016-03-08T13:17:43Z,38.43,
S2A_23KKP_20160308_0_L1C,7190.119451,,,sentinel-2a,sentinel-2,2016-03-08T13:17:43Z,38.98,
S2A_23KKQ_20160308_0_L1C,4731.074459,,,sentinel-2a,sentinel-2,2016-03-08T13:17:43Z,0.14,"BR_R006_0025, BR_R006_0046"
S2A_22KHV_20160308_0_L1C,3019.484213,,,sentinel-2a,sentinel-2,2016-03-08T13:17:43Z,0.18,
S2A_52SDG_20160309_0_L1C,10888.03164,,,sentinel-2a,sentinel-2,2016-03-09T02:26:51Z,66.29,
