id,status,polygon union area,max polygon area,confidence score,first observation,start date,earliest start,latest start,start activity,end activity,end date,last observation,model type
KR_R002_0124_te_2.0.1,negative,0.0097063018,0.0097063018,1.0,2017-02-01,2017-02-01,,,2017-02-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0125_te_2.0.1,positive_excluded,0.0013623031,0.0013623031,1.0,2016-05-01,2016-05-01,,,2016-05-01,2017-07-31,2017-07-31,2017-07-31,stack
KR_R002_0126_te_2.0.1,positive_excluded,0.002583713,0.002583713,1.0,2018-07-01,2018-07-01,,,2018-07-01,2020-05-31,2020-05-31,2020-05-31,stack
KR_R002_0127_te_2.1.0,positive_annotated,0.0182942174,0.0123145281,1.0,2017-01-27,2017-01-27,2017-02-12,2018-05-25,2018-05-25,2018-12-12,2018-12-12,2018-12-12,stack
KR_R002_0128_te_2.0.1,ignore,0.006090859,0.006090859,1.0,2017-10-01,2017-10-01,,,2017-10-01,2021-08-31,2021-08-31,2021-08-31,stack
KR_R002_0129_te_2.0.2,positive_pending,0.0084520668,0.0084520668,1.0,2012-07-01,2014-01-01,,,2014-01-01,2015-07-31,2015-07-31,2015-07-31,stack
KR_R002_0130_te_2.0.1,positive_excluded,0.0022721978,0.0022721978,1.0,2018-11-01,2018-11-01,,,2018-11-01,2020-10-31,2020-10-31,2020-10-31,stack
KR_R002_0131_te_2.0.1,ignore,0.0013888632,0.0013888632,1.0,2019-10-01,2019-10-01,,,2019-10-01,2021-08-31,2021-08-31,2021-08-31,stack
KR_R002_0132_te_2.0.1,positive_excluded,0.0013033344,0.0013033344,1.0,2018-11-01,2018-11-01,,,2018-11-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0133_te_2.0.1,positive_excluded,0.0016691512,0.0016691512,1.0,2015-07-01,2015-07-01,,,2015-07-01,2017-01-31,2017-01-31,2017-01-31,stack
KR_R002_0134_te_2.0.1,positive_excluded,0.0015221978,0.0015221978,1.0,2017-07-01,2017-07-01,,,2017-07-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0135_te_2.0.1,ignore,0.0033285602,0.0033285602,1.0,2018-02-01,2018-02-01,,,2018-02-01,2021-08-31,2021-08-31,2021-08-31,stack
KR_R002_0136_te_2.0.1,negative,0.0077050632,0.0077050632,1.0,2017-02-01,2017-02-01,,,2017-02-01,2017-09-30,2017-09-30,2017-09-30,stack
KR_R002_0137_te_2.0.3,ignore,0.0522519684,0.0522519684,1.0,2012-07-01,2014-01-01,,,2014-01-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0138_te_2.0.0,positive_excluded,0.0044058778,0.0044058778,1.0,2016-10-01,2016-10-01,,,2016-10-01,2017-12-31,2017-12-31,2017-12-31,stack
KR_R002_0139_te_2.1.0,positive_partial,0.0090801215,0.0057405684,1.0,2016-11-20,2016-11-20,2018-02-23,2018-05-25,2018-05-25,2021-08-31,2021-08-31,2021-07-26,stack
KR_R002_0140_te_2.1.0,positive_annotated,0.0098062293,0.0057724031,1.0,2016-12-06,2016-12-06,2017-05-03,2017-08-27,2017-08-27,2018-02-01,2018-02-22,2018-02-22,stack
KR_R002_0141_te_2.1.0,positive_partial,0.0259303209,0.01316748,1.0,2015-10-17,2015-10-17,2016-04-08,2016-04-08,2016-04-08,2017-11-29,2017-11-29,2017-11-29,stack
KR_R002_0142_te_2.0.0,ignore,0.009257713,0.009257713,1.0,2013-10-16,2014-01-01,,,2014-01-01,2021-08-31,2021-08-31,2022-08-20,stack
KR_R002_0143_te_2.0.0,ignore,0.0133775738,0.0133775738,1.0,2013-10-16,2014-01-01,,,2014-01-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0144_te_2.0.0,positive_pending,0.0171319236,0.0171319236,1.0,2013-10-16,2014-01-01,,,2014-01-01,2021-08-31,2021-08-31,2022-10-11,stack
KR_R002_0145_te_2.0.0,positive_pending,0.0121850783,0.0121850783,1.0,2013-10-16,2014-01-01,,,2014-01-01,2019-10-31,2019-10-31,2019-10-31,stack
KR_R002_0146_te_2.0.0,positive_excluded,0.0071404089,0.0071404089,1.0,2017-11-29,2017-11-29,,,2017-11-29,2020-10-24,2020-10-24,2020-10-24,stack
KR_R002_0147_te_2.0.0,ignore,0.0129450036,0.0129450036,1.0,2013-10-16,2014-01-01,,,2014-01-01,2021-08-31,2021-08-31,2021-11-19,stack
